authors,year,title,abstract,corpus_id,doi,author
"A. Palmer, Lyle F. Bachman",1996,Language testing in practice : designing and developing useful language tests,,60105535,,
"J. Norris, L. Ortega",2000,Effectiveness of L2 Instruction: A Research Synthesis and Quantitative Meta‐analysis,"This study employed (and reports in detail) systematic procedures for research synthesis and meta-analysis to summarize findings from experimental and quasi-experimental investigations into the effectiveness of L2 instruction published between 1980 and 1998. Comparisons of average effect sizes from 49 unique sample studies reporting sufficient data indicated that focused L2 instruction results in large target-oriented gains, that explicit types of instruction are more effective than implicit types, and that Focus on Form and Focus on Forms interventions result in equivalent and large effects. Further findings suggest that the effectiveness of L2 instruction is durable and that the type of outcome measures used in individual studies likely affects the magnitude of observed instructional effectiveness. Generalizability of findings is limited because the L2 type-of-instruction domain has yet to engage in rigorous empirical operationalization and replication of its central research constructs. Changes in research practices are recommended to enhance the future accumulation of knowledge about the effectiveness of L2 instruction.",144168329,10.1111/0023-8333.00136,
P. Rebuschat,2011,"Review of Implicit and Explicit Knowledge in Second Language Learning, Testing and Teaching. Rod Ellis, Shawn Loewen, Catherine Elder, Rosemary Erlam, Jenefer Philp & Hayo Reinders",,148768181,,
Zohreh Eslami-Rasekh,2005,Raising the pragmatic awareness of language learners,"The development of pragmatic and sociolinguistic rules of language use is important for language learners. It is necessary to understand and create language that is appropriate to the situations in which one is functioning, because failure to do so may cause users to miss key points that are being communicated or to have their messages misunderstood. Worse yet is the possibility of a total communication breakdown and the stereotypical labelling of second language users as people who are insensitive, rude, or inept (Thomas 1983). In this paper I will discuss different approaches to teaching pragmatics, and, based on my teaching experiences, I will provide some strategies that can be used to raise the pragmatic awareness of English language learners (ELLs).",14726218,10.1093/ELT/CCI039,
D. Nunan,2004,Task-Based Language Teaching: Acknowledgements,"The field of task-based language teaching has developed considerably since the publication of Designing Tasks for the Communicative Classroom (Nunan, 1989), a book which helped to set the research agenda in teaching methodology for the following decade. While Designing Tasks underpins this new title, the material has been thoroughly updated and includes four completely new chapters. Task-Based Language Teaching offers a comprehensive and up-to-date appraisal of the field.",214718212,10.1017/CBO9780511667336,
Kim McDonough,2008,Theories in Second Language Acquisition: An Introduction,"This edited collection brings together an overview of two historical and nine contemporary theories in second language acquisition (SLA). Unlike many introductory SLA textbooks, this volume feature...",142755502,10.2167/le128.0,
"Michael H. Long, G. Crookes",1992,Three Approaches to Task‐Based Syllabus Design,"Choice of the unit of analysis in syllabus design is crucial for all aspects of a language teaching program. A variety of units, including word, structure, notion, function, topic, and situation, continue to be employed in synthetic, Type A, syllabuses. While each is relevant for analyses of the target language and its use, nativelike linguistic elements find little support as meaningful acquisition units from a language learner's perspective. Task has more recently appeared as the unit of analysis in three analytic, (primarily) Type B, alternatives: procedural, process, and task syllabuses. Each of these has certain limitations, too, but when the task syllabus is combined with a focus on form in task-based language teaching, the task receives more support in second language acquisition (SLA) research as a viable unit around which to organize language teaching and learning opportunities.",145234547,10.2307/3587368,
G. Cumming,2011,"Understanding the New Statistics: Effect Sizes, Confidence Intervals, and Meta-Analysis",,119535587,,
Ali Shehadeh,2005,Task-based Language Learning and Teaching: Theories and Applications,,58436796,10.1057/9780230522961_2,
Yumiko Tateyama,2007,The effects of instruction on pragmatic awareness,,85553559,,
M. Takimoto,2006,The effects of explicit feedback on the development of pragmatic proficiency,"The present study evaluates the relative effectiveness of two types of input-based instruction, structured input instruction (a structured input task only) and structured input instruction with feedback (the structured input task + reactive explicit feedback) for teaching English polite requestive forms, involving 45 Japanese learners of English. Treatment group performance was compared to that of a control group on the pre-tests, post-tests, and follow-up tests: a discourse completion test, a role-play test, a listening judgement test, and an acceptability judgement test. The results of data analysis indicate that the two treatment groups performed better than the control group, and that the explicit reactive feedback was not always indispensable in the structured input task.",146316766,10.1191/1362168806lr198oa,
Jenefer Philp,2003,CONSTRAINTS ON “NOTICING THE GAP”,"Interaction has been argued to promote noticing of L2 form in a context crucial to learning—when there is a mismatch between the input and the learner's interlanguage (IL) grammar (Gass & Varonis, 1994; Long, 1996; Pica, 1994). This paper investigates the extent to which learners may notice native speakers' reformulations of their IL grammar in the context of dyadic interaction. Thirty-three adult ESL learners worked on oral communication tasks in NS-NNS pairs. During each of the five sessions of dyadic task-based interaction, learners received recasts of their nontargetlike question forms. Accurate immediate recall of recasts was taken as evidence of noticing of recasts by learners. Results indicate that learners noticed over 60–70% of recasts. However, accurate recall was constrained by the level of the learner and by the length and number of changes in the recast. The effect of these variables on noticing is discussed in terms of processing biases. It is suggested that attentional resources and processing biases of the learner may modulate the extent to which learners “notice the gap” between their nontargetlike utterances and recasts.",145686222,10.1017/S0272263103000044,
"Brian Paltridge, Aek Phakiti",2010,Continuum companion to research methods in applied linguistics,,160739928,,
R. Hausser,1989,Principles of Pragmatics,,115691746,10.1007/978-3-642-74564-5_12,
R. Schmidt,1990,"Consciousness, Learning and Interlanguage Pragmatics",,58277796,,
R. Young,2002,13. DISCOURSE APPROACHES TO ORAL LANGUAGE ASSESSMENT,"This chapter begins with a careful look at a sample conversation and examines the many layers of interpretation that different academic traditions have constructed in order to interpret it. These layers of interpretation include linguistic forms, nonverbal communication, linguistic context, situational context, and the embodied histories that participants bring to interaction. All are incorporated into a rich definition of discourse. The chapter then reviews recent studies that have compared the discourse of oral interaction in assessment with oral discourse in contexts outside assessment to show how different they are. The next section discusses studies that have related ways of speaking to the cultural values of communities of speakers with a view to understanding the cultural miscommunication that occurs in assessment of speaking in a second language community. The review concludes by stressing the wholeness of face-to-face interaction, listing the layers of interpretation of interaction that have not thus far been considered in oral testing, and setting out a potentially fertile area for future research.",62558942,10.1017/S0267190502000132,
B. Vanpatten,2002,"Processing the Content of Input–Processing and Processing Instruction Research: A Response to DeKeyser, Salaberry, Robinson, and Harrington","Le modele du traitement mental de la consigne dans l'acquisition de la syntaxe de la langue seconde, propose par l'A. en 1993, est reexamine a la lumiere de debats critiques engages sur la question. Il tente d'eclairer quelques malentendus developpes par les psycholinguistes sur une interpretation erronee du contenu de son modele de depart. L'A. ne reduit pas le traitement des donnees de la consigne a la seule comprehension de ces donnees, tout comme il ne reduit pas la consigne telle qu'elle est donnee dans le cadre de l'enseignement a une simple production du discours",143708450,10.1111/1467-9922.00205,
P. Robinson,2011,Task-Based Language Learning,"Task Design and Second Language Performance: The Effect of Narrative Type on Learner Output (Parveneh Tavokli & Pauline Foster ) (from 58:2, 439-473, 2008). Creativity and Narrative Task Performance: An Exploratory Study Agnes (Albert & Judit Kormos) (from 54:2, 277-310, 2004). The Role of Task-Induced Involvement and Learner Proficiency in L2 Vocabulary Acquisition (YouJin Kim )(from 58:2, 285-325, 2008). Teacher- and Learner-Led Discourse in Task-Based Grammar Instruction: Providing Procedural Assistance for Morphosyntactic Development (Paul Toth) (from 58:2, 237-283, 2008). Task-Based Interactions in Classroom and Laboratory Settings Susan Gass, (Alison Mackey & Lauren Ross-Feldman) (from 55:4, 575-611, 2005).",52972977,10.1111/J.1467-9922.2011.00641.X,
"E. I. Cdved, TH Ough, Lawrence F. Bouton",2012,TITLE Can NNS Skill in Interpreting Implicature in American English Be Improved through Explicit Instruction ?,,202118407,,
"J. Norris, L. Ortega",2007,The Future of Research Synthesis in Applied Linguistics: Beyond Art or Science,TESOL Quarterly publishes brief commentaries on aspects of qualitative and quantitative research. This issue features a discussion of research synthesis in applied linguistics.,142683327,10.1002/J.1545-7249.2007.TB00105.X,
R. Leow,2007,Practice in a Second Language: Input in the L2 classroom: An attentional perspective on receptive practice,"Introduction The role of input is undoubtedly crucial in the process of second/foreign language (L2) learning. Input may be defined as the L2 data (form-based and/or meaning-based) that learners receive either in the formal classroom or in a naturalistic setting. Indeed, how L2 input is presented to L2 learners in the classroom and its effects on the processes learners employ to interact with the input (input processing) have been the focus of several strands of second language acquisition (SLA) studies conducted within a psycholinguistic framework. The theoretical underpinnings of most of these psycholinguistic studies appear to include some role for attention (and possibly awareness) in the processing of L2 grammatical or linguistic data in adult learners' L2 development (e.g., Robinson, 1995; Schmidt, 1990, 1993, 1995, 2001; Tomlin & Villa, 1994; VanPatten, 2004). The term practice has several connotations (see DeKeyser, this volume for an elaborated discussion of this term in several fields of inquiry) in both the applied linguistics and cognitive psychology literatures. In applied linguistics, the notion of pedagogical practice in the typical classroom assumes some form of performance by learners in response to L2 grammatical input they receive in this setting, which may be provided prior to or during practice. In addition, the L2 input is usually manipulated in some form by the teacher. For example, learners may be exposed to L2 that has been carefully selected and manipulated by the teacher to highlight some linguistic data and may be requested to interact with it in several ways, such as selecting options related to the linguistic data in the input, performing a task, and so forth.",58530035,10.1017/CBO9780511667275.004,
Nessa Wolfson,1988,Perspectives: Sociolinguistics and TESOL,,142746826,,
A. Trosborg,2010,13. Assessing learnability in second language pragmatics,,63296607,10.1515/9783110214444.3.391,
Yumiko Tateyama,2001,Pragmatics in Language Teaching: Explicit and implicit teaching of pragmatic routines: Japanese sumimasen,,145755859,10.1017/CBO9781139524797.015,
Heidi E. Vellenga,2004,Learning Pragmatics from ESL & EFL Textbooks: How Likely?.,,62340086,,
Naoko Taguchi,2012,"Context, Individual Differences and Pragmatic Competence","Chapter 1: Context, Individual Differences, and Pragmatic Development: An Introduction Chapter 2: Longitudinal Studies in Interlanguage Pragmatics Chapter 3: Theoretical Framework, Research Questions, and Methodology Chapter 4: Patterns and Rate of Pragmatic Development Chapter 5: Individual Differences in Pragmatic Development Chapter 6: Summary and Conclusion",55417798,10.21832/9781847696106,
"Zohreh Eslami-Rasekh, A. Eslami-Rasekh, Azizollah Fatahi",2004,The Effect of Explicit Metapragmatic Instruction on the Speech Act Awareness of Advanced EFL Students.,,63264695,,
"Eun-hee Jeon, T. Kaya",2006,5. Effects of L2 instruction on interlanguage pragmatic development: A meta-analysis,,151921720,10.1075/LLLT.13.10JEO,
Naoko Taguchi,2008,THE ROLE OF LEARNING ENVIRONMENT IN THE DEVELOPMENT OF PRAGMATIC COMPREHENSION,"This study examines the role of environment in the development of pragmatic comprehension. It tracks two groups of Japanese students of English: 60 students in a college in Japan (English as a foreign language [EFL] learners) and 57 students in a college in the United States (English as a second language [ESL] learners). The learners completed a computerized listening task that measured their ability to comprehend two types of implied meaning: indirect refusals (k = 24) and indirect opinions (k = 24). The task was given to each group twice, before and after the students received approximately 120–130 hr of classroom instruction. Comprehension was analyzed for accuracy (scores) and speed (average time taken to answer each item correctly). Results showed that, in both learner groups, accuracy and comprehension speed improved significantly over time. For the EFL group, the magnitude of effect was much less for speed than for accuracy. In contrast, ESL learners showed significant improvement in comprehension speed, with a sizable effect size, but only marginal improvement in accuracy.",146479803,10.1017/S0272263108080716,
P. Robinson,2001,Cognition and Second Language Instruction: COGNITION AND INSTRUCTION,"Chapter 1. Attention. Richard Schmidt Chapter 2. Memory for Language. Nick C. Ellis Chapter 3. The Competition Model: The Input, the Context and the Brain. Brian MacWhinney Chapter 4. Sentence Processing. Michael Harrington Chapter 5. Automaticity and Automatization. Robert M. DeKeyser Chapter 6. Learnability and Second Language Acquisition Theory. Kevin R. Gregg Chapter 7. Cognition and Tasks. Peter Skehan and Pauline Foster Chapter 8. Cognitive Underpinnings of Focus on Form. Catherine Doughty Chapter 9. Intentional and Incidental Second Language Learning: A Reappraisal of Elaboration, Rehearsal and Automaticity. Jan H. Hulstijn Chapter 10. Task Complexity, Cognitive Resources and Second Language Syllabus Design: A Triadic Framework for Examining Task Influences on SLA. Peter Robinson Chapter 11. Aptitude, Individual Differences, and Instructional Design. Mark Sawyer and Leila Ranta Chapter 12. Cognition, Instruction and Protocol Analysis",56550240,10.1017/CBO9781139524780,
"Zohreh R. Eslami, C. Liu",2013,Learning Pragmatics through Computer-Mediated Communication in Taiwan,,142694175,,
Satomi Takahashi,2010,The effect of pragmatic instruction on speech act performance,"This chapter reviews previous research on pragmatic intervention by exploring the extent to which the teachability of second-language speech acts is constrained by the nature of intervention and learner-attributable factors. The superiority of explicit pragmatic intervention over implicit treatment is confirmed overall, particularly in the teaching of the sociopragmatic features of speech acts. However, evidence suggests that such positive effects of explicit intervention are not always assured; moreover, some forms of implicit intervention are equally effective. Such variations in the findings are best explained in terms of an explicit/implicit continuum rather than a dichotomous explicit versus implicit framework. The current review also suggests that higher levels of linguistic proficiency and learner motivation may be prerequisites for maximally enhancing pragmatic teachability.",147753285,10.1075/lllt.26.08tak,
"N. Ishihara, M. Maeda",2010,Advanced Japanese: Communication in Context,,142464748,,
Naoko Taguchi,2009,"Blended learning for Japanese reactive tokens: Effects of computer-led, instructor-led, and peerbased instruction",,63097750,10.1515/9783110218558.275,
Eli Hinkel,1999,Culture in Second Language Teaching and Learning,,141721804,,
"Claus Færch, G. Kasper",1983,Strategies in interlanguage communication,,141936280,,
A. Cohen,2005,Strategies for learning and performing L2 speech acts,"Abstract This article presents a taxonomy of language learner strategies which are offered in support of learners in their efforts to obtain knowledge about speech acts and to perform them more effectively. Relevant language learner strategy literature and speech act literature are reviewed. After defining language learning and use strategies, the article makes the case for enhancing learner strategies in developing speech act ability. Next, as a lead up to the presentation of the taxonomy of strategies, the issue of where learners are to find empirical sources for speech act material is addressed, with attention given to the current concerns for naturally-occurring data. This is followed by a review of literature on efforts to teach pragmatics. The article concludes with a discussion of suggested avenues for validating the strategy taxonomy.",144362215,10.1515/iprg.2005.2.3.275,
"B. D. Silva, Antonio José",2003,The effects of instruction on pragmatic development: Teaching polite refusla in English,,57780599,,
"Atieh Farashaiyan, T. Hua",2012,A Cross-Cultural Comparative Study of Gratitude Strategies between Iranian and Malaysian Postgraduate Students,"This study describes and compares the gratitude strategies utilized by Iranian EFL and Malaysian ESL learners in facing different situations. Data were cumulated from 20 Iranian and 20 Malaysian postgraduate university students having the same language proficiency through a Discourse Completion Tasks Questionnaire. Social status, size of imposition and gender are contextual and social variables which were investigated for two groups of learners in this study. Results of the study illustrated certain commonalities and differentials in terms of the strategies and type of gratitude used by Iranian and Malaysian students. A detailed analysis of the use of the gratitude strategies revealed significant differences in communicative ways of Iranian and Malaysian postgraduate students reflecting insights into understanding the differences in cultural values and norms in two non-western cultures. The results also illustrated that the two contextual factors and gender affect significantly on the type and frequency of the strategies.",56350862,10.5539/ASS.V8N7P139,
Naoko Taguchi,2009,Pragmatic competence in Japanese as a second language: An introduction,,156436777,10.1515/9783110218558.1,
J. Leeman,2003,RECASTS AND SECOND LANGUAGE DEVELOPMENT,"Recasts have figured prominently in recent SLA research, with studies documenting significant advantages for learners exposed to this type of negative feedback. Although some researchers have suggested that such findings imply a beneficial role for negative evidence (i.e., information regarding the impossibility of certain utterances in the language being learned), the source of these benefits has not been explored directly, as multiple variables are conflated in recasts. Specifically, recasts not only offer implicit negative evidence, but they also provide positive evidence. Moreover, recasts are believed to make this positive evidence especially salient. In the present study, 74 learners of L2 Spanish engaged in communicative interaction with the researcher in one of the following conditions: (a) recasts (i.e., negative evidence and enhanced salience of positive evidence), (b) negative evidence, (c) enhanced salience of positive evidence, and (d) unenhanced positive evidence (control). Only the recast and enhanced-salience groups performed significantly better than the control group on posttreatment measures, which suggests that the utility of recasts is derived at least in part from enhanced salience of positive evidence and that the implicit negative evidence they seem to provide may not be a crucial factor.",145714304,10.1017/S0272263103000020,
T. K. Nguyen,2013,Instructional effects on the acquisition of modifiers in constructive criticism by EFL learners,"Previous research has shown that learners of English might experience considerable difficulty when giving constructive criticism to peers in instructional settings. Unlike native speakers, they tend to soften their criticism far less frequently while aggravating it far more often, and thus require pedagogical help in this area. The present study examines whether meta-pragmatic instruction facilitates the learning of linguistic resources for softening constructive criticism in an instructed language-learning context. Fifty Vietnamese high-intermediate-level students of English as a Foreign Language (EFL) were recruited for the control and treatment conditions. Over a period of 10 weeks, the treatment group received explicit instruction in eight types of criticism modifiers while the control group did not receive any equivalent instruction. For data collection, the two groups participated in discourse completion tasks, role plays, and oral peer feedback tasks before and after the treatment. The treatment group was also engaged in writing reflective journals, which were later collected and analysed for instances of input noticing. A delayed posttest was conducted for the treatment group five weeks after the experiment in order to investigate whether instructional effects (if any) lasted beyond immediate post-experimental observations. Findings show positive instructional effects on learners’ pragmatic performance and are discussed with implications for future research.",145675821,10.1080/09658416.2012.658810,
