authors,title,year,abstract,doi,link,search_method
Junkyu Lee and others,The Effectiveness of Second Language Pronunciation Instruction: A Meta-Analysis,2014,"... et al. (2012)   have stated, ‘there is no agreed upon system of deciding what [pronunciation features] to teach, and when and how to do it’. And unlike all other linguistic foci targeted by second language (L2) instruction—grammar, vocabulary, pragmatics—quantitative results from this body...",10.1093/applin/amu040,https://doi.org/10.1093/applin/amu040,manual_journal_search[applied_linguistics]
Sungbae Ko,The Nature of Multiple Responses to Teachers’ Questions,2013,".... The result has been a substantial contribution to the advancement of applied linguistics and second-language (L2) acquisition (e.g.  Firth and Wagner 2007 ;  Gardner and Wagner 2004 ;  He 2004 ;  Hellermann 2008 ;  Kasper 2004 ;  Ko 2008 ,  2009a ,  2009b ,  2013 ;  Koshik 2000 ,  2002a ,  2002b ;  Lazaraton...",10.1093/applin/amt005,https://doi.org/10.1093/applin/amt005,manual_journal_search[applied_linguistics]
Søren W. Eskildsen and GuÐrún Theodórsdóttir,Constructing L2 Learning Spaces: Ways to Achieve Learning Inside and Outside the Classroom,2015,"... in second language conversation ,’  Journal of Applied Linguistics   1 / 1 :  29 – 47 .        Brynjólfsdóttir  G.   .  2011 . ‘ Íslenskuþorpið. Íslenskukennsla fyrir erlenda nemendur og íslenskunám úti í samfélaginu ,’  [The Icelandic Village. Icelandic Teaching for Foreign Students and Icelandic Studies...",10.1093/applin/amv010,https://doi.org/10.1093/applin/amv010,manual_journal_search[applied_linguistics]
Carsten Roever and Naoki Ikeda,The Relationship Between L2 Interactional Competence and Proficiency,2023,"... of interactional performance. Our study has implications for the conceptual relationship between speaking proficiency and interactional abilities, as well as for second language teaching and testing.   Describing the construct of L2 proficiency is highly consequential for L2 research and practice as it determines...",10.1093/applin/amad053,https://doi.org/10.1093/applin/amad053,manual_journal_search[applied_linguistics]
Ross Forman,Humorous Language Play in a Thai EFL Classroom,2011,"... will have experienced L2 learners’ capacity to create new meanings/forms through their knowledge of one language allied to a partial command of a second language. In the three examples below, the teacher himself creates new forms/meanings through word-play. I will cite each example, and then provide a gloss...",10.1093/applin/amr022,https://doi.org/10.1093/applin/amr022,manual_journal_search[applied_linguistics]
David Wei Dai and Michael Davey,On the Promise of Using Membership Categorization Analysis to Investigate Interactional Competence,2023,"... on the development, teaching and testing of IC has focused on sequential methods for successful interaction. To take a handful of foundational examples that have proved seminal to the field,  Cekaite (2007)  investigated the development of turn-taking in L2 Swedish in a classroom context, showing how...",10.1093/applin/amad049,https://doi.org/10.1093/applin/amad049,manual_journal_search[applied_linguistics]
Florence Baills and others,Embodied Prosodic Training Helps Improve Accentedness and Suprasegmental Accuracy,2022,"... words ,’  Language Teaching Research   https://doi.org/10.1177/1362168820986716        Baker  A.     2014 . ‘ Exploring teachers’ knowledge of second language pronunciation techniques: Teacher cognitions, observed classroom practices, and student perceptions ,’  TESOL Quarterly   48 / 1 :  136 – 63...",10.1093/applin/amac010,https://doi.org/10.1093/applin/amac010,manual_journal_search[applied_linguistics]
Naoko Taguchi and others,Metapragmatic Knowledge and Transfer of Learning across Speech Acts,2022,"... support that metapragmatic knowledge established during instruction is related to the transfer.  Instructional research in L2 pragmatics has grown rapidly, as evidenced in more than 70 empirical studies published since the 1980s ( Taguchi and Youn in press ). Existing studies have mainly addressed...",10.1093/applin/amac043,https://doi.org/10.1093/applin/amac043,manual_journal_search[applied_linguistics]
Hua Zhu and others,Whose Karate? Language and Cultural Learning in a Multilingual Karate Club in London,2019,"... out, reflected a blending of European and Japanese militarism and physical culture as well as Japanese neo-Confucianism. The complex relationship between language and culture has always been a concern in the research on modern or foreign language teaching and learning, with extensive discussions...",10.1093/applin/amz014,https://doi.org/10.1093/applin/amz014,manual_journal_search[applied_linguistics]
Du Re Kim,Emergence of Proactive Self-Initiated Self-Repair as an Indicator of L2 IC Development,2019,"..., reference tracking, and communication strategies in early L2 ,’  Language Learning    56 :  155 – 96 .        Hall  J. K.      2007 .  ‘Redressing the roles of correction and repair in research on second and foreign language learning    The Modern Language Journal    91 :  511 – 26 .        Hellermann  J...",10.1093/applin/amz047,https://doi.org/10.1093/applin/amz047,manual_journal_search[applied_linguistics]
Yuly Asención-Delaney and Joseph Collentine,A Multidimensional Analysis of a Written L2 Spanish Corpus,2011,"... the mapping of form to function, and the usefulness of the multidimensional corpus analysis.  Canale and Swain’s (1980)  and  Bachman’s (1990)  theories of L2 communicative competence afford discourse/textual competence a central role in SLA. The American Council on the Teaching of Foreign Languages ( ACTFL...",10.1093/applin/amq053,https://doi.org/10.1093/applin/amq053,manual_journal_search[applied_linguistics]
Sol Kim and So-Yeon Ahn,Engaging with language play: practices of Korean English teachers in elementary classrooms,2025,"... underscored the critical role of language play in second or foreign language acquisition, focusing on how learners engage in and derive meaning from language play. For instance,  Broner and Tarone (2001)  analyzed classroom interactions among fifth-grade L2 learners attending a full Spanish immersion class...",10.1093/applin/amaf004,https://doi.org/10.1093/applin/amaf004,manual_journal_search[applied_linguistics]
Jasone Cenoz and others,Critical Analysis of CLIL: Taking Stock and Looking Forward,2013,"... to language and content teaching espoused by CLIL has the potential to better integrate foreign language/L2 instruction and the teachers responsible for that instruction with mainstream curriculum and teachers.  In summary, our comparison of perspectives on CLIL versus immersion indicates...",10.1093/applin/amt011,https://doi.org/10.1093/applin/amt011,manual_journal_search[applied_linguistics]
Marion Nao,‘So You Are from England’: Categorization and Cultural Reduction in First-time Conversation Lounge Encounters between Foreign Teachers and Japanese Students of EFL,2013,...    Classroom foreigner talk discourse: forms and functions of teachers' questions  Classroom Oriented Research in Second Language Acquisition  1983  Newbury House Press        Markee  N      Richards  K    Seedhouse  P    The organization of off-task talk in second language classrooms  Applying Conversation...,10.1093/applin/amt041,https://doi.org/10.1093/applin/amt041,manual_journal_search[applied_linguistics]
Juliane House and others,On the Problematic Use of ‘don’t worry’ by Chinese Learners of English,2024,"...  is a review of literature, Section  3  presents our framework, Section  4  provides our analysis, and finally Section  5  concludes our study. The second author is a foreign academic who has worked in China for many years and is fluent in Chinese. He often felt irritated by certain uses of ‘don’t worry...",10.1093/applin/amae020,https://doi.org/10.1093/applin/amae020,manual_journal_search[applied_linguistics]
Niina Lilja and Arja Piirainen-Marsh,Connecting the Language Classroom and the Wild: Re-enactments of Language Use Experiences,2018,"... well established, it has only recently been adapted to second language (L2) teaching (see  Barraja-Rohan 2011 ;  Clark and Lindemalm 2011 ;  Thorne 2013 ). This study builds on recent initiatives for supporting learning in-the-wild (see  Wagner 2015 ) and investigates how re-enactments of language use...",10.1093/applin/amx045,https://doi.org/10.1093/applin/amx045,manual_journal_search[applied_linguistics]
Sara Routarinne and Maria Ahlholm,Developing Requests in Multilingual Classroom Interaction: A Case of Second Language Development in Middle Childhood,2021,... into the country of immigration. A topical issue of interest for teaching and learning second languages—at school and in the wild (e.g.  Wagner 2015 )—relates to how the social environment and interaction support learners in their language development (e.g.  Firth and Wagner 2007 ;  Hall et al. 2011...,10.1093/applin/amaa048,https://doi.org/10.1093/applin/amaa048,manual_journal_search[applied_linguistics]
Wei Ren and others,A Meta-analysis of the Effectiveness of Second Language Pragmatics Instruction,2022,"... instruction yielded larger effects than implicit instruction, but the difference was not significant; pragmatics instruction was more effective in foreign language settings than in second language settings; longer treatments yielded larger effect sizes than medium and short treatments; and teaching pragmatics...",10.1093/applin/amac055,https://doi.org/10.1093/applin/amac055,manual_journal_search[applied_linguistics]
Grace Lee Amuzie and Patti Spinner,Korean EFL Learners’ Indefinite Article Use with Four Types of Abstract Nouns,2012,"...  63  79         Spinner  P    Does processability theory predict the order of L2 acquisition with aural GJT data?  2011  Presentation at Second Language Research Forum, Iowa State University        Vendler  Z    Verbs and times  The Philosophical Review  1957  66  143  60         White  B...",10.1093/applin/ams065,https://doi.org/10.1093/applin/ams065,manual_journal_search[applied_linguistics]
Juliane House and others,Greeting in English as a Foreign Language: A Problem for Speakers of Chinese,2022,"... of Greet expressions in English and Chinese. Second, we elicit production data from speakers of English and Chinese to investigate their behaviour in the broader opening phase of an interaction across various contexts. The results of the study help us understand in a differentiated way the puzzlement...",10.1093/applin/amac031,https://doi.org/10.1093/applin/amac031,manual_journal_search[applied_linguistics]
Bin Ai and others,Unpacking Translanguaging Practices in Multilingual Business Communication in China: A Qualitative Phenomenological Approach,2022,"... .  ‘The use of social semiotics multimodality and joint action theory to describe teaching practices: Two cases studies with experienced teachers,’   Classroom Discourse   11 / 3 :  229 – 51 .        Otheguy ,  R.  ,   O.   García  , and   W.   Reid  .   2015 .  ‘Clarifying translanguaging and deconstructing...",10.1093/applin/amac029,https://doi.org/10.1093/applin/amac029,manual_journal_search[applied_linguistics]
Gary J Ockey and Evgeny Chukharev-Hudilainen,Human versus Computer Partner in the Paired Oral Discussion Test,2021,"...):  Handbook of Research in Second Language Teaching and Learning .  Routledge .       Young  R. F.     2019 .  ‘Interactional competence and L2 pragmatics,’  in    Taguchi  N.    (ed):  The Routledge Handbook of Second Language Acquisition and Pragmatics .  Routledge . Table 3   G-study for interactional...",10.1093/applin/amaa067,https://doi.org/10.1093/applin/amaa067,manual_journal_search[applied_linguistics]
Hanh Thi Nguyen,Interactional Practices across Settings: From Classroom Role-plays to Workplace Patient Consultations,2016,"... .  Chandler Publishing Company .       Brouwer  C. E.  ,   Wagner  J.   .  2004 . ‘ Developmental issues in second language conversation ,’  Journal of Applied Linguistics   1 :  29 – 47 .        Cekaite  A.     2007 . ‘ A child’s development of interactional competence in a Swedish L2 classroom...",10.1093/applin/amw007,https://doi.org/10.1093/applin/amw007,manual_journal_search[applied_linguistics]
PEI-SHU TSAI and Wo-Hsin Chu,"The Use of Discourse Markers among Mandarin Chinese Teachers, and Chinese as a Second Language and Chinese as a Foreign Language Learners",2015,"... of elaborating on the insights gained from past studies. The present study further analyzed the frequency and function of these markers produced by Chinese teachers, as well as CSL (Chinese as a second language) and CFL (Chinese as a foreign language) learners during online Chinese language courses...",10.1093/applin/amv057,https://doi.org/10.1093/applin/amv057,manual_journal_search[applied_linguistics]
Daniel R Isbell and Dustin Crowther,Revisiting US Undergraduate Perceptions of Non-native English Varieties: From Millennials to Generation Z,2022,"... attractiveness of L2 English-speaking international teaching assistants ( Kang and Yaw 2021 ).  Lindemann (2002)  made the connection between listener perceptions and person-to-person interactions, showing how undergraduate listeners with less positive perceptions of English spoken by Koreans were less...",10.1093/applin/amac048,https://doi.org/10.1093/applin/amac048,manual_journal_search[applied_linguistics]
Dwight Atkinson,"Extended, Embodied Cognition and Second Language Acquisition",2010,"... a difference’ (Bateson  1972 : 459) in the L2 environment. This is what our guides teach us as we engage with the environment: A requisite idiom or formula here, a form-function relationship there—to do that, you need to say this. By trying to align with our environment—by learning to behave in ecosocially...",10.1093/applin/amq009,https://doi.org/10.1093/applin/amq009,manual_journal_search[applied_linguistics]
Kevin W H Tai,A Translanguaging Perspective on Teacher Contingency in Hong Kong English Medium Instruction History Classrooms,2022,"... ), classroom interactions often entail spontaneity and improvisation that cannot be planned in advance. That is, teachers need to acknowledge the reality of L2 teaching as responding to unscripted actions spontaneously, and therefore, carrying out classroom teaching typically involves simultaneous...",10.1093/applin/amac039,https://doi.org/10.1093/applin/amac039,manual_journal_search[applied_linguistics]
Celeste Kinginger and others,Contextualized Language Practices as Sites for Learning: Mealtime Talk in Short-Term Chinese Homestays,2014,"... on speaking English’ with him. Henry is a White American citizen who, at age 18, was also a rising senior and was participating in the program for the second consecutive summer, having studied Chinese since the 6th grade. Henry was characterized by his teachers as a talented language learner. All three...",10.1093/applin/amu061,https://doi.org/10.1093/applin/amu061,manual_journal_search[applied_linguistics]
Hakyoon Lee,Telling Stories and Making Social Relations: Transnational Women’s Ways of Belonging in Intercultural Contexts,2013,"... and membership in her study of community of practice orientation to second language socialization. She emphasizes that ‘socialization does not necessarily lead to the reproduction of existing L2 cultural and discursive practices but may lead to other outcomes, such as hybrid practices, identities, and values...",10.1093/applin/amt038,https://doi.org/10.1093/applin/amt038,manual_journal_search[applied_linguistics]
Nicholas Close Subtirelu and Stephanie Lindemann,"Teaching First Language Speakers to Communicate Across Linguistic Difference: Addressing Attitudes, Comprehension, and Strategies",2014,"... English. Critical applied linguists have long called for the teaching of alternative ideologies that reframe L2 English as legitimate multilingualism (e.g.  Cook 1999 ), and the few published attempts to do so with preservice English as a second language teachers have reported some success (e.g.  Pavlenko...",10.1093/applin/amu068,https://doi.org/10.1093/applin/amu068,manual_journal_search[applied_linguistics]
Cecilia Guanfang Zhao and Jincheng Wu,Voice and Voicing Strategies Across Native and Second Language Writing: Extending the Interactional Metadiscourse Framework,2024,"..., hedges, and attitude markers, across different writer groups (e.g. native vs. second language writers, novice vs. expert writers) to offer insights into voice construction in (L2) English writing and inform writing pedagogy (e.g.  Hyland and Milton 1997 ;  Aull and Lancaster 2014 ;  Bax et al...",10.1093/applin/amae021,https://doi.org/10.1093/applin/amae021,manual_journal_search[applied_linguistics]
Jacobus Francois Wolfaardt and Alex Ho-Cheong Leung,The Impact of Filipina Domestic Workers on Hong Kong Primary School Children’s L2 English Spoken CAF and Reading Accuracy and Fluency,2023,"... as the medium of instruction ( Wang and Kirkpatrick 2020 ). However, perhaps mainly due to the lack of an English learning environment outside of the classroom, English in HK can be better described as a foreign language (FL), rather than an L2 ( Li 2009 ). Local Hong Kongers being trained as English teachers...",10.1093/applin/amad072,https://doi.org/10.1093/applin/amad072,manual_journal_search[applied_linguistics]
Teppo Jakonen and Tom Morton,Epistemic Search Sequences in Peer Interaction in a Content-based Language Classroom,2013,"... ). In doing so, CA takes a very different perspective on L2 learning and acquisition from the mainstream cognitivist position in second language acquisition (SLA), which sees language learning as an internal individual process consisting in changes in mental states and representations ( Atkinson 2011...",10.1093/applin/amt031,https://doi.org/10.1093/applin/amt031,manual_journal_search[applied_linguistics]
Monika S Schmid and Karen Roehr-Brackin,Overcoming COVID-19 vaccine hesitancy: An investigation of the Foreign Language Effect,2024,... to the question of whether it is preferable to communicate in the target audience’s first (L1) or second language (L2). This consideration is linked to the cognitive processes that individuals rely on when making decisions. It has long been established that the human tendency to recruit implicit and intuitive...,10.1093/applin/amae083,https://doi.org/10.1093/applin/amae083,manual_journal_search[applied_linguistics]
Javad Zare and Ali Derakhshan,An intervention study on the influence of altruistic teaching on L2 learners’ English research article abstract writing,2024,"... in second/foreign language (L2) education. As an offshoot of PP, altruistic teaching, which highlights teaching without self-focus, has recently initiated its way into L2 research territory. However, the way altruistic teaching influences L2 students’ academic literacy skills, such as abstract writing, has...",10.1093/applin/amae067,https://doi.org/10.1093/applin/amae067,manual_journal_search[applied_linguistics]
Maria Harissi and others,The Performative Fixing and Unfixing of Subjectivities,2012,"... for villagers), and also playful in that the utterance was followed by laughter. The line is followed by more turns in English and a play with accents between parodic attempts at non-Greek, foreign/English-like accent (lines 7, 8, 12, and 14), deliberately Greek-accented English (line 10 and Christianna’s...",10.1093/applin/ams053,https://doi.org/10.1093/applin/ams053,manual_journal_search[applied_linguistics]
Daniel M K Lam,Don’t Turn a Deaf Ear: A Case for Assessing Interactive Listening,2021,"... and Berger (2018)  argued that one of four manifestations of L2 IC development involves ‘an increased capacity to monitor the linguistic details of coparticipants’ prior turns and actions’ (p. 557). It would seem pertinent, therefore, for researchers, assessors, teachers, and learners alike to explore...",10.1093/applin/amaa064,https://doi.org/10.1093/applin/amaa064,manual_journal_search[applied_linguistics]
Alberto Hijazo-Gascón and others,Interpreting Swearwords in Police Interviews and Perceived Offensiveness of Insults in the UK and Spain,2023,"... themselves and therefore end up producing inadequate translation equivalents that change the original meaning of the offense ( Hale et al. 2020 ). In addition, swearing in a non-native, second language by an L2 speaker may be interpreted differently by L1 speakers of that same language ( Dewaele...",10.1093/applin/amad060,https://doi.org/10.1093/applin/amad060,manual_journal_search[applied_linguistics]
Mohammed I. Alghbban and others,"Metaphoric Modeling of Foreign Language Teaching and Learning, with Special Reference to Teaching Philosophy Statements",2015,"... modeling of foreign language teaching and learning at the College of Languages and Translation, King Saud University. It makes use of teaching philosophy statements as a corpus. Our objective is to analyze the underlying conceptualizations of teaching/learning, the teachers' perception of the students...",10.1093/applin/amv053,https://doi.org/10.1093/applin/amv053,manual_journal_search[applied_linguistics]
Naoko Taguchi and Youjin Kim,Collaborative Dialogue in Learning Pragmatics: Pragmatic-Related Episodes as an Opportunity for Learning Request-Making,2014,"... learners’ think-aloud protocols in the individual task group, and they were analyzed for PREs as well. Task-based learning in language classrooms has received much attention among second language (L2) researchers and practitioners (   Van den Branden et al. 2009   ). Tasks are often used...",10.1093/applin/amu039,https://doi.org/10.1093/applin/amu039,manual_journal_search[applied_linguistics]
David O’Reilly and Emma Marsden,Eliciting and Measuring L2 Metaphoric Competence: Three Decades on from Low (1988),2020,"... metaphor-related skills as characteristics of MC was the first major discussion on the importance of metaphor for second/foreign language (L2) learners and teachers. For example, Low described the need for learners to develop aspects of MC such as: a knowledge of the boundaries of conventional metaphor...",10.1093/applin/amz066,https://doi.org/10.1093/applin/amz066,manual_journal_search[applied_linguistics]
Hassan Belhiah,You Know Arnold Schwarzenegger? On Doing Questioning in Second Language Dyadic Tutorials,2011,...        Labov  W    Fanshel  D    Therapeutic Discourse: Psychotherapy as Conversation  1977  Academic Press        Lightbown  P    d'Anglejan  A      Gass  S    Madden  C    Some input considerations for word order in French L1 and L2 acquisition  Input in Second Language Acquisition  1985  Newbury House  415...,10.1093/applin/amr030,https://doi.org/10.1093/applin/amr030,manual_journal_search[applied_linguistics]
Jie Qin and Dilin Liu,Introducing/Testing New SFL-Inspired Communication/Content/Function-Focused Measures for Assessing L2 Narrative Task Performance,2024,"... SFL as a complementary theoretical/practical guide for the evaluation of L2 task performance. In the research on task-based language teaching (TBLT), second language (L2) learners’ task performance has been understood and measured predominantly in terms of the psycholinguistically framed complexity...",10.1093/applin/amae030,https://doi.org/10.1093/applin/amae030,manual_journal_search[applied_linguistics]
Basma Bouziri,A tripartite interpersonal model for investigating metadiscourse in academic lectures,2021,"... with many courses designed to combine the lecture format with the seminar format thus moving away from the traditional monologic lecturing style. For instance, courses such as ‘Teaching English as a Foreign Language (TEFL)’, ‘Stylistics’, and ‘Literature survey’ use both formats for different purposes. When...",10.1093/applin/amab001,https://doi.org/10.1093/applin/amab001,manual_journal_search[applied_linguistics]
Elisa Gironzetti and Javier Muñoz-Basols,Research Engagement and Research Culture in Spanish Language Teaching (SLT): Empowering the Profession,2022,"... it at a specialized conference, as well as engagement with research, such as reading research articles, attending conferences, and applying the results of research to teaching ( Borg 2010 ). In the case of L2 teachers, engagement in research has received the most attention in the form of Action...",10.1093/applin/amac016,https://doi.org/10.1093/applin/amac016,manual_journal_search[applied_linguistics]
Teppo Jakonen and others,Achieving Joint Attention and Understanding of Task Responsibilities in Synchronous Hybrid L2 Classroom Group Work,2024,"... for educational needs because of technological innovations and features such as screen-sharing and collaborative text editing tools. At the same time, the recent coronavirus disease 2019 (COVID-19) pandemic forced many institutions and teachers to find ways to provide video-mediated ‘emergency remote teaching...",10.1093/applin/amae017,https://doi.org/10.1093/applin/amae017,manual_journal_search[applied_linguistics]
Rae L. Mancilla and others,An Investigation of Native and Nonnative English Speakers’ Levels of Written Syntactic Complexity in Asynchronous Online Discussions,2015,"... available to holistically evaluate the syntactic complexity of a written text which is especially suited for large-scale corpus-based studies of complexity.  In Applied Linguistics and Second Language Acquisition (SLA), syntactic complexity has been a standard criterion for assessing L2 writers’ level...",10.1093/applin/amv012,https://doi.org/10.1093/applin/amv012,manual_journal_search[applied_linguistics]
Hong Ma and others,Linguistic Features Distinguishing Students’ Writing Ability Aligned with CEFR Levels,2023,"...      Abbuhl ,  R.     2012 .  ‘Using self-referential pronouns in writing: The effect of explicit instruction on L2 writers at two levels of proficiency,’   Language Teaching Research   16 :  501 – 18 .        Albayrak ,  Y.     2009 .  ‘Classification of domestic and foreign commercial and banks in Turkey...",10.1093/applin/amad054,https://doi.org/10.1093/applin/amad054,manual_journal_search[applied_linguistics]
Jan Svennevig and others,Pre-empting Understanding Problems in L1/L2 Conversations: Evidence of Effectiveness from Simulated Emergency Calls,2017,"... are second language (L2) speakers. This may create challenges in establishing intersubjectivity between the parties, especially when the proficiency level of the L2 speakers is low. In medical emergencies, misunderstandings or lack of understanding may have serious consequences for both safety and efficiency...",10.1093/applin/amx021,https://doi.org/10.1093/applin/amx021,manual_journal_search[applied_linguistics]
