authors,year,title,abstract,corpus_id,doi,author
J. Belz,2004,Learner corpus analysis and the development of foreign language proficiency,,58208641,10.1016/J.SYSTEM.2004.09.013,
"Diane Belcher, U. Connor",2001,Reflections on multiliterate lives,"Part I Language specialist as language learners: the fortunate traveller - shuttling between communities and literacies by economy class, Suresh Canaparajah initiating into academic community, Vijay K. Bhatia reminiscences of multilingual life, Nils Erik Enkvist developing literacy can and should be fun - but only sometimes is, Hakan Ringbom straddling three worlds, Anna Soter how a speaker of two second languages becomes a writer in a foreign language, Adina Levine from L1 to L12 - the confessions of a sometimes frustrated multilateral, Andrew D. Cohen my experience of learning to read and write in Japanese as L1 and English L2, Ryuko Kubota an introspectives account of L2 writing acquistion, Miyuki Sasaki writing from Chinese to English, Jun Liu. Part II Crossing cultures across the disciplines: learning is a life-long process, Ming-Daw Tsai linguistic experiences of a mathematical career, Louis de Branges taking the best from a number of worlds - an interview, Hooshang Hemami & Diane Belcher growing up trilingual - memories of an Armenian/Arabic/English speaker, Anahid Dervartanian Kulwicki ""how can I help make a difference?"" - an interview, Maria Julia & Daine Belcher on being a citizen of the world - an interview, Luis Proenza & Ulla Connor the advantages of starting out multilingual - an interview, Steven Beering & Ulla Connor.",142171143,10.21832/9781853597046,
G. Kasper,1997,Pragmatics of Chinese as native and target language,,143670797,10.2307/328909,
Lawrence F. Bouton,1994,Conversational implicature in a second language: learned slowly when not deliberately taught,,145211161,10.1016/0378-2166(94)90065-5,
"R. M. Reiter, M. Placencia",2004,Current trends in the pragmatics of Spanish,The essays in this collection represent both new theoretical and empirical research and as such they constitute a valuable contribution to the field of pragmatics in general and an essential reference to those researching the pragmatics of ...,142090425,10.1075/PBNS.123,
"Jean W. LeLoup, Robert Ponterio",2003,ON THE NET |Interactive and Multimedia Techniques in Online Language Lessons: A Sampler,,62512321,,
J. Cenoz,2005,BILINGUALISM: BEYOND BASIC PRINCIPLES,"BILINGUALISM: BEYOND BASIC PRINCIPLES. Jean-Marc Dewaele, Alex Housen, and Li Wei (Eds.). Clevedon, UK: Multilingual Matters, 2003. Pp. ix +233. £49.90 cloth, £22.95 paper. This volume is a festschrift in honor of Hugo Baetens Beardsmore on the occasion of his sixtieth birthday and the twentieth anniversary of the publication of his book Bilingualism: Basic principles (1982). The volume includes 12 articles in addition to an introduction and a laudatio. The volume reflects the important developments of studies in bilingualism in the last 20 years and covers a great variety of areas related to the sociolinguistic, educational, and psycholinguistic dimensions of bilingualism. The first chapter is a reprint of one of Baetens Beardsmore's lesser known publications (1988) and discusses the fears of bilingualism at different levels. Fifteen years later, this chapter still addresses the most important issues related to bilingualism often discussed by teachers, parents, and policy makers. The next three chapters focus on the social aspects of bilingualism: Edwards discusses bilingualism and identity in chapter 2, Clyne addresses the role of intrinsic motivation and metalinguistic awareness in bilingualism in chapter 3, and Cummins examines the differences between the criticism against bilingual education in the American press and the positive results of research on the outcomes of bilingualism in chapter 4. These three chapters each have a different focus but taken together provide an interesting perspective of the social factors affecting bilingualism. Chapter 5 by Martin and chapter 7 by Jones discuss multilingual education in Brunei. These two chapters describe the languages used in schools, the educational context, and the most recent changes in education in Brunei and could be of interest for educators in other bilingual contexts. Chapter 6 by Baker and chapter 8 by Wei and Milroy both discuss language and society but focus on minority languages in two completely different settings—Wales and Singapore. Both chapters discuss interesting theoretical aspects that are then applied to specific settings. Chapter 9 (Fraser Gupta) has a very weak link to the rest of the chapters in the book and analyzes seven self-study books of Malay from different periods. Chapter 10 (Lüdi) and chapter 11 (Myers-Scotton) discuss interesting theoretical aspects of codeswitching, and the last chapter (Genesee) focuses on the similarities and differences between early monolingual and bilingual acquisition. These three chapters are more research oriented than the rest of the chapters in the book, both because of their theoretical basis and the empirical data they discuss. They may also be the most interesting for researchers in SLA.",142634697,10.1017/S0272263105280051,
Satomi Takahashi,2001,Pragmatics in Language Teaching: The role of input enhancement in developing pragmatic competence,"Introduction Input enhancement in second language acquisition (SLA) has been addressed in studies of form-focused instruction at morphosyntactic levels, known as Focus on Form (FonF) research (e.g., White, Spada, Lightbown & Ranta, 1991; Carroll, Swain & Roberge, 1992; Fotos, 1993; Spada & Lightbown, 1993; Trahey & White, 1993; see Doughty & Williams, 1998; Long & Robinson, 1998, for an overview). Following Sharwood Smith's (1991, 1993) definition of input enhancement, researchers experimentally manipulated instructional input on L2 structures in various ways: some form of corrective feedback with or without metalinguistic information (e.g., Doughty & Varela, 1998), visual enhancement (textual modification) with the use of bold or italic face (e.g., Alanen, 1995; Jourdenais, Ota, Stauffer, Boyson, & Doughty, 1995; J. White, 1998), and task manipulation directing learners to notice and attend to target structures (e.g., Hulstijn, 1989; Robinson, 1996; Williams & Evans, 1998). All of these studies provided evidence that high levels of attention-drawing activities, as represented by presenting metalinguistic information and corrective feedback, are more helpful for learners in gaining the mastery of target-language structures than simple exposure to positive evidence. These findings thus provide the basis for theoretical verification of Schmidt's (1993a, 1995, 1998) Noticing Hypothesis, which states that conscious noticing is the necessary and sufficient condition for converting input to intake. In contrast to the rich array of input enhancement research into morphosyntactic features, there have been considerably fewer studies specifically focusing on the role of input enhancement in developing L2 pragmatic competence.",142737322,10.1017/CBO9781139524797.014,
Michael H. Long,1983,Does Second Language Instruction Make a Difference? A Review of Research,"Does second language instruction promote second language acquisition? Some studies conclude that instruction does not help (or even that it is counter-productive); others find it beneficial. The picture becomes clearer if two distinctions are made. First, researchers may address one or both of two issues: the absolute effect of instruction, on the one hand, and its relative utility, on the other. Second, studies need to be subclassified according to whether or not the comparisons they make involve controlling for the total amount of instruction, exposure, or instruction plus exposure-that is, for the total opportunity to acquire the second language. Observing these distinctions, a review of research findings concludes that there is considerable (although not overwhelming) evidence that instruction is beneficial 1) for children as well as adults, 2) for beginning, intermediate, and advanced students, 3) on integrative as well as discrete-point tests, and 4) in acquisition-rich as well as acquisition-poor environments. These findings have implications for theories of second language acquisition, such as Krashen's Monitor Theory, which make predictions about second language acquisition with and without instruction, and also for those involved in educational administration, program design, and classroom teaching.",146587499,10.2307/3586253,
Kristine Billmyer,1990,"""I really like your lifestyle"": ESL Learners learning how to compliment",,262468594,,
,,,,CorpusId:None,,
"K. Bardovi-Harlig, B. Hartford",1993,Refining the DCT: Comparing Open Questionnaires and Dialogue Completion Tasks.,,59770218,,
山下 早代子,1996,Six measures of JSL pragmatics,,142291354,,
"S. Gass, J. Neu",2006,Speech acts across cultures : challenges to communication in a second language,"This book investigates the notion of Speech Acts from a cross-cultural perspective. The starting point for this book is the assumption that speech acts are realized from culture to culture in different ways and that these differences may result in communication difficulties that range from the humorous to the serious. The book deals with methodological issues, presents data on speech acts as a secondlanguage, and the applications of speech act research.",59857660,10.1515/9783110219289,
"Carsten Roever, T. McNamara",2006,Language testing: The social dimension,"In this book, the authors foreground an aspect of language testing that is usually not much discussed and is frequently considered an “advanced” topic: the social dimension of language testing. They see various social dimensions in language testing. There are socially oriented language tests, i.e., tests which assess learners’ ability to use language in social settings. These are primarily oral proficiency interviews and tests of second language pragmatics. But the authors also understand “social” as “societal” and look at the larger-scale impact of tests on individual learners or groups of learners by discussing fairness and bias in language testing. They also broaden their view and discuss the role of language testing in a macro-social context, e.g. as accountability measures in education systems, as gatekeeping instruments for migration, and as tools for constructing and defining social groups. Their discussion is anchored in traditional and more recent views of validity theory.",145632177,10.1111/J.1473-4192.2006.00117.X,
J. Belz,2003,Linguistic Perspectives on the Development of Intercultural Competence in Telecollaboration.,,9937357,,
D. Tatsuki,2005,"Pragmatics in language learning, theory, & practice",,142194807,,
"K. Bardovi-Harlig, B. Hartford",2005,Interlanguage Pragmatics : Exploring Institutional Talk,"Contents: K. Bardovi-Harlig, B.S. Hartford, Introduction. K. Bardovi-Harlig, B.S. Hartford, Institutional Discourse and Interlanguage Pragmatics Research. J. Williams, Writing Center Interaction: Institutional Discourse and the Role of Peer Tutors. L. Yates, Negotiating an Institutional Identity: Individual Differences in NS and NNS Teacher Directives. J. Kerekes, Before, During, and After the Event: Getting the Job (or Not) in an Employment Interview. C.E. Davies, A.E. Tyler, Discourse Strategies in the Context of Crosscultural Institutional Talk: Uncovering Interlanguage Pragmatics in the University Classroom. E. Tarone, English for Specific Purposes and Interlanguage Pragmatics. T. Gibbs, Using Moves in the Opening Sequence to Identify Callers in Institutional Settings. K. Bardovi-Harlig, B.S. Hartford, Practical Considerations.",142064391,10.4324/9781410613776,
Stella Hurd,2000,"Distance language learners and learner support: beliefs, difficulties and use of strategies",,23480158,,
R. Schmidt,1990,"Consciousness, Learning and Interlanguage Pragmatics",,58277796,,
"Kenneth R. Rose, Connie Ng Kwai-fun",2001,Pragmatics in Language Teaching: Inductive and deductive teaching of compliments and compliment responses,"Introduction This chapter reports the results of a study on the effects of inductive and deductive approaches to instruction in pragmatics, with the target features being compliments and compliment responses. The literature on these speech acts – along with that on requests and apologies – is among the richest in crosscultural and interlanguage pragmatics, offering coverage of both pragmalinguistics and sociopragmatics. Compliments and compliment responses were also among the first speech acts to be targeted for empirically informed teaching of pragmatics (Holmes & Brown, 1987), as well as for the study of the effects of instruction in interlanguage pragmatics (Billmyer, 1990a, 1990b). The current study incorporates aspects of each of these lines of inquiry, but adds several elements, namely, the two instructional approaches and the foreign language context. Background We will not provide a detailed survey of the literature on the effects of instruction in pragmatics, or on issues such as explicit and implicit learning, both of which receive comprehensive coverage in Bardovi- Harlig (this volume) and Kasper (this volume). We will, however, discuss in brief some of the relevant literature on compliments and compliment responses, the effects of instruction in compliments and compliment responses, and inductive and deductive approaches to teaching. Research on compliments is largely traced back to the work of Nessa Wolfson and Joan Manes (Wolfson & Manes, 1980; Manes & Wolfson, 1981; Wolfson, 1981a, 1981b, 1983, 1984, 1988, 1989a; Manes, 1983), which provided the first comprehensive description of the formulaicity of compliments in American English.",142541504,10.1017/CBO9781139524797.013,
Carsten Roever,2004,Difficulty and Practicality in Tests of Interlanguage Pragmatics,,67425295,,
"Kenneth R. Rose, G. Kasper",2001,Pragmatics in Language Teaching: Name index,"1. Pragmatics in language teaching 2. Evaluating the empirical evidence: Grounds for instruction in pragmatics? 3. Classroom research on interlanguage pragmatics Pragmatic and grammatical awareness: A function of learning environment? 5. Why can't learners of JFL distinguish polite form impolite speech styles? 6. A longitudinal study of the development of expression of alignment in JFL 7. Acquiring French interactional norms through instruction 8. Inductive and deductive teaching of compliments and compliment responses 9. The role of input enhancement in developing pragmatic competence 10. Explicit and implicit teaching of pragmatic routines: Japanese sumimasen 11. Explicit instruction and JFL learners' use of interactional discourse markers 12. Use of address terms on the German Speaking Test 13. Indicators for pragmatic instruction: Some quantitative tools 14 Pragmatics tests: Different purposes, different tests.",142550692,10.1017/CBO9781139524797,
D. Yoshimi,2001,Pragmatics in Language Teaching: Explicit instruction and JFL learner's use of interactional discourse markers,"Introduction The development of L2 pragmatic competence entails the ability to use a wide range of conversational routines and discourse strategies to manage one's communicative interactions with others. Since the early 1980s, researchers have established that a foreign language learner's development of various aspects of pragmatic competence may be facilitated by the instruction of pragmatic routines and strategies in the foreign language classroom (Kasper, this volume). House (1996, p. 247) points out that when such instruction is explicit, it appears to be particularly beneficial since it enables learners to develop an awareness and understanding of the differences between L1 and L2 pragmatic preferences, and thereby “counteract negative L1 transfer through ‘noticing’ (Schmidt, 1993b) and through making attempts to use alternative, more L2 norm-oriented expressions.” In a comparison of the relative benefits of implicit and explicit instruction, House (1996) reports on two sections (i.e., implicit and explicit) of a 14-week communication course instructed in the use of everyday, conversational routines. Through lectures, handouts, and explanatory feedback that provided metapragmatic information on the use and function of these routines, the members of the explicit group had additional opportunities to raise their awareness of preferred L2 pragmatic practices and to “notice” differences between L1 and L2 practices. House argues that the greater improvement shown by the explicit group, particularly in areas where the pragmatic preferences of the learners' L1 differed from those of the target L2, is a result of the learners' heightened awareness of L1-L2 pragmatic differences.",143028035,10.1017/CBO9781139524797.016,
"J. Norris, L. Ortega",2000,Effectiveness of L2 Instruction: A Research Synthesis and Quantitative Meta‐analysis,"This study employed (and reports in detail) systematic procedures for research synthesis and meta-analysis to summarize findings from experimental and quasi-experimental investigations into the effectiveness of L2 instruction published between 1980 and 1998. Comparisons of average effect sizes from 49 unique sample studies reporting sufficient data indicated that focused L2 instruction results in large target-oriented gains, that explicit types of instruction are more effective than implicit types, and that Focus on Form and Focus on Forms interventions result in equivalent and large effects. Further findings suggest that the effectiveness of L2 instruction is durable and that the type of outcome measures used in individual studies likely affects the magnitude of observed instructional effectiveness. Generalizability of findings is limited because the L2 type-of-instruction domain has yet to engage in rigorous empirical operationalization and replication of its central research constructs. Changes in research practices are recommended to enhance the future accumulation of knowledge about the effectiveness of L2 instruction.",144168329,10.1111/0023-8333.00136,
K. Bardovi-Harlig,2001,Pragmatics in Language Teaching: Evaluating the empirical evidence: Grounds for instruction in pragmatics?,"Introduction Everyone who works with a second or foreign language, whether learners, teachers, or researchers, knows a funny story about crosscultural pragmatics – or maybe the stories are really not that funny. From the perspective of the speaker, they may be about feeling silly, helpless, or rude; from the perspective of the listener, they may be about feeling confused, insulted, or angry. Anecdotal evidence inspires us to say that we ought to teach, as one of our ESL students said, the “secret rules” of language. Much research has gone into identifying how speakers of various languages realize speech acts, take turns, and use silence, for example, so that what our student called the secret rules are not unknown; and even if our knowledge is incomplete at this stage, could it form the basis of an informed pedagogy? In other words, is there empirical evidence that warrants the development and implementation of a pedagogy of pragmatics in second and foreign language instruction? In this chapter, I will review the empirical evidence that shows that native speakers (NSs) and nonnative speakers (NNSs) of a given target language appear to have different systems of pragmatics, discuss the factors that influence the development of L2 pragmatics systems, and then address the question of whether differences in pragmatics systems warrant instructional treatment. The evidence This review adopts a speech act perspective. Although it is not the only way of viewing pragmatics, speech act research has been well represented in crosscultural and interlanguage pragmatics research, and provides a common analytic framework which facilitates comparison across studies.",142558425,10.1017/CBO9781139524797.005,
A. Cohen,2005,Strategies for learning and performing L2 speech acts,"Abstract This article presents a taxonomy of language learner strategies which are offered in support of learners in their efforts to obtain knowledge about speech acts and to perform them more effectively. Relevant language learner strategy literature and speech act literature are reviewed. After defining language learning and use strategies, the article makes the case for enhancing learner strategies in developing speech act ability. Next, as a lead up to the presentation of the taxonomy of strategies, the issue of where learners are to find empirical sources for speech act material is addressed, with attention given to the current concerns for naturally-occurring data. This is followed by a review of literature on efforts to teach pragmatics. The article concludes with a discussion of suggested avenues for validating the strategy taxonomy.",144362215,10.1515/iprg.2005.2.3.275,
J. Kess,1983,"Conversational routine: explorations in standardized communication situations and prepatterned speech: Florian Coulmas, ed., Rasmus Rask Studies in Pragmatic Linguistics, Vol. 2. Janua Linguarunt Series Maior 96. The Hague: Mouton, 1981. xii + 311 pp. DM 92.00 (cloth)",,149231814,10.1016/0378-2166(83)90095-4,
"A. Liddicoat, C. Crozet",2001,Acquiring French interactional norms through instruction,"Introduction The emergence of intercultural competence in language teaching (Kramsch, 1993, 1995; Lustig & Koester, 1993; Byram & Zarate, 1994; Crozet, Liddicoat, & Lo Bianco, 1999) has led to a need to focus on a second language as a vehicle for communication in cultural contexts, and this in turn implies that an important goal for language learning is developing an understanding of appropriate communication in the target language (Zarate, 1986; Buttjes & Byram, 1990; Kramsch, 1995; Tickoo, 1995; Fantini, 1997; Liddicoat, 1997b). Consequently, language teaching now needs to be seen more in the context of intercultural communication, with the aim of preparing learners to communicate outside their own cultural boundaries (Bolten, 1993; Crozet, 1996; Liddicoat, 1997b; Liddicoat & Crozet, 1997; Liddicoat, Crozet, Jansen, & Schmidt, 1997; Crozet & Liddicoat, 1999; Crozet et al., 1999). In such a perspective, pragmatic and discoursal practices become an integral part of language learning from early on because they play a central role in intercultural communication, and mismatches between them have been identified as a key factor in communication breakdowns. Many studies have shown that culturally based differences about what is expected during communication can be a significant cause of crosscultural communication difficulties (Gumperz, Judd, & Roberts, 1979; Wierzbicka, 1985, 1991; Kotthoff & Auer, 1987; Gudykunst & Kim, 1992). These expectations may be linked to differences in the realization of particular speech acts, or they may be linked to broader, and often more diffuse, issues of discourse organization and conversational style.",141887945,10.1017/CBO9781139524797.012,
A. Cohen,2001,From L1 to L12: The Confessions of a Sometimes Frustrated Multiliterate,,150329868,10.21832/9781853597046-010,
"Yoshinori J. Fukuya, M. Clark",2001,A Comparison of Input Enhancement and Explicit Instruction of Mitigators.,,59747115,,
Cynthia White,1999,The Metacognitive Knowledge of Distance Learners,,143326550,10.1080/0268051990140306,
