authors,year,title,abstract,document_type,doi,link,search_method
"A. Foster, A. Seritan, J. Lomax",2016.0,Erratum to: The Psychiatric Interview,,,10.1007/978-3-319-39460-2_23,https://doi.org/10.1007/978-3-319-39460-2_23,forward
A. Gilmore,2011.0,“I Prefer Not Text”: Developing Japanese Learners’ Communicative Competence with Authentic Materials,"This quasi-experimental study reports on a 10-month classroom-based longitudinal investigation, exploring the potential of authentic materials to develop Japanese learners’ communicative competence in English. Sixty-two second-year university students were assigned to either a control group receiving textbook input or an experimental group receiving authentic input, and their pretreatment and posttreatment levels of overall communicative competence were assessed. Communicative competence was operationalized with a batch of eight different tests: a listening test, a pronunciation test, a C-test, a grammar test, a vocabulary test, a discourse completion task, an oral interview, and a student-student role-play. The results indicated that the experimental group outperformed the control group in five of the eight measures, suggesting that the authentic materials and their associated tasks were more effective in developing a broader range of communicative competencies in learners than the textbook materials. I discuss the pedagogical implications of these findings for language teachers and their learners.",,10.1111/J.1467-9922.2011.00634.X,https://doi.org/10.1111/J.1467-9922.2011.00634.X,forward
"A. Jalilifar, Mahmood Hashemian, Madine Tabatabaee",2011.0,A Cross-sectional Study of Iranian EFL Learners' Request Strategies,"This study was a cross-sectional investigation into the request strategies used by Iranian learners of English as a Foreign Language (EFL) and Australian native speakers of English. The sample involved 96 B.A. and M.A. Iranian EFL learners and 10 native speakers of English. A Discourse Completion Test (DCT) was used to generate data related to the request strategies used by each group. The selection of request situations in the DCT was based on 2 social factors of relative power and social distance. Although the results revealed pragmatic development, particularly in the movement from direct to conventionally indirect strategies on the part of the EFL learners, the EFL learners with higher proficiency displayed overuse of indirect type of requesting, whereas the native group was characterized by the more balanced use of this strategy. The lower proficiency EFL learners, on the other hand, overused the most direct strategy type. In terms of the influence of the social variables, the findings of this research revealed that as far as social power is concerned, the EFL learners displayed closer performance to the native speakers. But considering social distance, it seems that the Iranian EFL learners had not acquired sufficient sociopragmatic knowledge to display proper social behavior.",,10.4304/JLTR.2.4.790-803,https://doi.org/10.4304/JLTR.2.4.790-803,forward
"A. Kargar, A. Ahmadi",2021.0,The effect of a collaborative translation task on the learning and retention of pragmatic knowledge,"ABSTRACT As language acquisition research supports the value of the interactive scaffolded environment and awareness-raising communicative tasks for the development of pragmatic knowledge, the present study attempted to investigate the effect of Collaborative Translation Task (CTT) on learning and retention of request speech act strategies. The main objective of the study was to determine whether collaborative translation tasks, either from or to the target language, presented in a supportive expert-novice environment, might lead to more efficient learning and retention of pragmatic knowledge. For this purpose, an experimental study was designed with four experimental groups and one control group, receiving different types of treatment including CTTs, and structured input with and without explicit instruction. Three equivalent forms of discourse completion tasks (DCT) were given to 150 low-intermediate participants as a pre-test, a post-test and a two-month follow-up delayed post-test. The results of the study indicated that CTTs appeared to have enabled noticing and deeper processing of both pragmalinguistic and sociopragmatic knowledge and resulted in improved learning and retention of pragmatic knowledge. The results also provide positive evidence for House's (2008) hypothesis that translation has the potential to raise pragmatic and cross-cultural awareness.",,10.1080/09571736.2021.1957989,https://doi.org/10.1080/09571736.2021.1957989,forward
"A. Kargar, F. Sadighi, A. Ahmadi",2012.0,The Effects of Collaborative Translation Task on the Apology Speech Act Production of Iranian EFL Learners,"The present study aims to investigate the relative effectiveness of different types of pragmatic instruction including two collaborative translation tasks and two structured input tasks with and without explicit pragmatic instruction on the production of apologetic utterances by low-intermediate EFL learners. One hundred and fifty university students in four experimental groups and one control group participated in pre-tests, post-tests and two month follow ups consisting of open-ended discourse completion tasks (OPDCT), mobile short message tasks (MSMT) and telephone conversation tasks (TCT). The results of the study indicated that pragmatic instruction may enhance interlanguage pragmatics (ILP). It was also found that the participants receiving explicit pragmatic instruction outperformed the implicit and control groups. Moreover, the two Collaborative Translation Task (CTT) groups showed better retention of pragmatic knowledge. It was concluded that collaborative translation may result in deeper processing of both pragmalinguistic and sociopragmatic knowledge leading to more appropriate pragmatic production.",,10.22099/JTLS.2012.621,https://doi.org/10.22099/JTLS.2012.621,forward
A. Katayama,2012.0,Effects of instruction on Japanese discourse marker n desu,,,10.7939/R3TM75,https://doi.org/10.7939/R3TM75,forward
"A. M. Díaz Ferrero, Isa Vitória Severino, Rafael Porlán Moreno",2023.0,La enseñanza de la pragmática a través de ejercicios de traducción pedagógica,"El conocimiento de los factores pragmalingüísticos es esencial para el dominio profundo de una lengua. En este artículo presentamos un proyecto de interacción virtual entre estudiantes portugueses de español lengua extranjera (ELE) de las licenciaturas de Marketing, Gestão y Contabilidade, de la Escola Superior de Tecnologia e Gestão de Guarda (Portugal) y estudiantes de portugués, lengua extranjera (PLE), del grado de Traducción e Interpretación de la Universidad de Granada (España). Exponemos en primer lugar la importancia del dominio de los factores pragmalingüísticos en el aprendizaje de una lengua extranjera, especialmente en el marco de la formación de futuros traductores e intérpretes, así como para la formación de profesionales del marketing y de la gestión empresarial. A continuación, definimos el concepto de fallo pragmático, y finalmente presentamos las características de una unidad didáctica de interacción virtual cuyo objetivo es el desarrollo de la competencia pragmática a través de ejercicios de análisis contrastivo y de traducción pedagógica.",,10.21814/diacritica.4818,https://doi.org/10.21814/diacritica.4818,forward
"A. Maibodi, A. Fazilatfar",2015.0,The Impact of Individual Differences on the Interlanguage Pragmatics of Iranian EFL learners in Institutional Discourse,"This study investigated the impact of individual differences like language proficiency, gender and age on the Iranian EFL learners interlanguage pragmatics in institutional discourse especially, their capacity to recognize and to rate pragmatic and grammatical infelicities in speech act situations of request and apology.  To this end, one hundred and eighty-seven EFL university students at three academic levels—undergraduate, postgraduate and PhD—participated in the study. Cross-sectional data collection was undertaken to analyze the relationship between the variables and the speech acts recognized and rated by learners at different proficiency levels. A three way between subject analyses (ANOVA) showed quantitative differences among the three groups according to individual differences. Further, in-depth analyses of test items indicated that EFL learners’ at the three proficiency levels identified and rated grammatical errors as more serious than pragmatic errors.  Results revealed qualitative, developmental information about the cognitive and individual traits followed in pragmatic awareness. One significant implication is that any account of the development of ILP should take into consideration the individual differences that will intervene between the stages of noticing and target like production.  Moreover, being linguistically competent is not only essential for the EFL learner but acquiring pragmatic competence is also important.",,10.22054/ILT.2015.3190,https://doi.org/10.22054/ILT.2015.3190,forward
"A. Maibodi, H. Dehghani",2020.0,The Impact of Cognitive Styles on the Speech Act of Apology among Iranian EFL Learners,"This study explored the effect of cognitive styles of field dependence (FD) and field-independence (FI) on Iranian EFL learners’ performance in the speech act of apology. Additionally, the investigation also focused on the effect of these cognitive styles on individual differences (IDs) like proficiency, age, and gender of the participants. To this end, 80 EFL learners, studying at two English language institutes in Maybod, were selected through convenient sampling. This study was conducted in three phases by using a variety of instruments, like Oxford Quick Placement Test (OPT), Group Embedded Figures Test (GEFT), and Multiple Choice Discourse Completion Tasks (MCDCTs). With respect to the GEFT, students were divided into two groups, FD/FI. The MCDCTs were administered to measure students’ pragmatic comprehension and restructuring ability of the apology situations. The obtained data were analyzed using SPSS 21 statistical software. The results revealed that FI participants outperformed the FD ones in apology contexts. Individual differences like gender and age had a significant effect on the performance of the participants in both cognitive groups. Although the proficiency level demonstrated some variations, but it did not have any statistically significant impact on the performance of the participants in these two groups. The major pedagogical implication of the present study is that when assessing the interlanguage pragmatics (ILP) of EFL learners, teachers and other teaching administrations should take not only cognitive styles but also individual differences into consideration so that they could adopt and apply teaching methods in line with the learners’ various cognitive styles.",,10.29252/IJREE.5.1.85,https://doi.org/10.29252/IJREE.5.1.85,forward
"A. Mirzaei, A. Roohani, Maryam Esmaeili",2012.0,Exploring Pragmalinguistic and Sociopragmatic Variability in Speech Act Production of L2 Learners and Native Speakers,"The pragmalinguistic and sociopragmatic aspects of language use vary across different situations, languages, and cultures. The separation of these two facets of language use can help to map out the socio-cultural norms and conventions as well as the linguistic forms and strategies that underlie the pragmatic performance of different language speakers in a variety of target language use situations. This study explored the sociopragmatic and pragmalinguistic variations in the expression and realization of three speech acts of apology, request, and refusal by American native speakers and Iranian EFL learners. The participants were 100 graduate and undergraduate Iranian students and 50 American native speakers. A written discourse completion test (WDCT) was developed through a bottom-up procedure and used for collecting the data. The results showed that considerable variations emerged in the semantic formulae, sociopragmatic content, and pragmalinguistic forms the participants employed in realizing the speech acts in relation to the contextual variables and individual differences. The American participants employed more (pragmalinguistic) formulaic strategies and were generally more direct than the Iranian L2 learners. Further variability was also noticeable in the participants’ choice of sociopragmatic appropriacy formulae in order to mitigate their speech acts and avoid offending their interlocutors. The findings indicated that there is an intricate reciprocity between the sociopragmatic values and the variant forms or strategies that language users employ on the pragmalinguistic level of language use. It is then suggested that pragmatic variation be traced and probed on the two pragmalinguistic and sociopragmatic planes of language use in real-life (or simulated) contexts.",,10.22099/JTLS.2012.622,https://doi.org/10.22099/JTLS.2012.622,forward
"A. Mirzaei, Farshad Naseri, A. Jafarpour, Zohreh R. Eslami",2021.0,ZPD-based mediation of L2 learners’ comprehension of implicatures: An educational praxis framework,"Abstract Conversational implicatures (CIMs) are implied by the speaker in context rather than being linguistically encoded, and learners’ inability to infer the intended meaning, if not remedied through instruction (or mediation), leads to communication breakdowns. Given this premise, the current study aimed to examine effects of classroom praxis-based instruction adjusted to EFL learners’ Zone of Proximal Development (ZPD) on their comprehension of CIMs. Participants were 36 Iranian high school students in 2 classrooms, assigned to experimental and comparison groups. A 20-item CIM test was administered at pretest and posttest times to collect the data. Microgenetic trajectories were also traced through audio-recorded role-plays and social interactions within the ZPD setting. ZPD-adjusted mediational instruction on CIMs was given based on a multi-level regulatory scale and a view of microgenetic development along an other-to self-regulated functioning continuum. In the non-ZPD setting, mainstream teacher-fronted instruction was employed. ANCOVA results revealed differential instructional effects in favor of the praxis-based mediational setting. Microgenetic learning episodes also portrayed how collectively-mediated, ZPD-activated learning led to L2 learners’ progressively improved comprehension of CIMs. The findings suggest that comprehension (and perhaps production) of L2 CIMs can be improved through praxis-oriented co-construction of pragmatic knowledge through collaborative engagement with communicative activity.",,10.1515/lpp-2021-0007,https://doi.org/10.1515/lpp-2021-0007,forward
"A. Mirzaei, Mahmood Hashemian, Amin Khoramshekouh",2016.0,L2 Learners’ Enhanced Pragmatic Comprehension of Implicatures via Computer-Mediated Communication and Social Media Networks,"Second or foreign language (L2) learners‘ development of interlanguage pragmatic (ILP) competence to understand and properly interpret utterances under certain social and cultural circumstances plays a pivotal role in the achievement of communicative competence. The current study was designed to explore the effects of synchronous computer-mediated communication (SCMC) and asynchronous computer-mediated communication (ACMC) course modules delivered through social media networks (SMN) on the development of the Iranian L2 learners‘ comprehension of implicatures. The participants of the study were 90 English-as-a-foreign-language (EFL) undergraduate students attending three intact classes. The classes were randomly assigned to one control and two experimental (SCMC and ACMC) groups. An open-ended implicature comprehension test was used to assess students‘ ILP development in this pretest-posttest comparison-group study. The control group received the traditional teacher-fronted instruction, and the S/ACMC groups received instruction via synchronous and asynchronous modules of SMNs for 4 months, respectively. Students‘ attitudes towards the CMC-based courses were also sought. Split-plot ANOVA results indicated that both experimental groups developed significant ILP ability to comprehend and interpret L2 implicatures after the instruction; however, by comparison, the ACMC group improved more considerably. It is concluded that, first, comprehending L2 implicatures is not impervious to computer-mediated instruction and, second, different CMC affordances may result in differential ILP developmental effects in teaching L2 pragmatics. The findings can help L2 teachers decide how to use CMC affordances and SMN modules to raise L2 learners‘ pragmatic awareness.",,10.18869/ACADPUB.IJAL.19.1.141,https://doi.org/10.18869/ACADPUB.IJAL.19.1.141,forward
A. Miura,2017.0,Assessing politeness of requestive speech acts produced by Japanese learners of English in a spoken corpus,"catalaAquest estudi te com a objectiu investigar si es possible avaluar la competencia sociopragmatica dels estudiants en les dades d'aprenentatge del llenguatge oral mitjancant l'estudi de les peticions dels estudiants d’angles japonesos. Es van extreure varies caracteristiques pragmalinguistiques de role plays de compra del corpus del National Institute of Information and Communications Technology Japanese Learner English (NICT JLE) i vint professors d'angles (10 natius i 10 japonesos) van avaluar les propietats d'aquestes caracteristiques linguistiques des del punt de vista de la cortesia en varies situacions de compra. Nomes es va obtenir un index de coincidencia de les peticions considerablement alt en la negociacio, ja que les avaluacions no van ser congruents, en especial en el cas dels informants japonesos. Les caracteristiques amb avaluacions altes no es van utilitzar de forma frequent en el corpus, de manera que comentar la informacio sociopragmatica en el corpus meta pareix ser poc realista. EnglishThis study aims to investigate whether it is possible to assess learners’ sociopragmatic competence in learner spoken data by examining requests produced by Japanese learners of English. Various pragmalinguistic features of requests in shopping role plays in the National Institute of Information and Communications Technology Japanese Learner English (NICT JLE) Corpus were extracted and the appropriateness of these linguistic features was rated by twenty English language instructors (10 native speakers and 10 Japanese) in terms of their politeness in different shopping situations. A significantly high rate of agreement was only obtained in judging the requests negotiating for a refund or exchange of the purchased item. The Japanese informants showed a relatively lower agreement than the natives especially on requests asking for permission to test an item. The highly rated linguistic features were not frequently used in the corpus. Therefore, annotating the sociopragmatic information in the target corpus seems unrealistic.",,10.6035/LANGUAGEV.2017.9.8,https://doi.org/10.6035/LANGUAGEV.2017.9.8,forward
A. Miura,2021.0,Extracting learner-specific pragmalinguistic features: a study of requestive speech acts produced by Japanese low-proficiency English learners,,,10.1007/s43545-021-00113-w,https://doi.org/10.1007/s43545-021-00113-w,forward
"A. R. Altakhaineh, Marwa Abu Hasheish, Dana Hamaydeh",2024.0,Pragmatic Failures in Intercultural Communication: Evidence from Jordan,"Aim. This paper investigates the pragmatic errors of Jordanian EFL learners from a cultural perspective on communication. It is suggested that pragmatics, or the study of how language is used in context, plays a crucial role in L2 learners’ communicative skills. Thus, the research aims to provide a comprehensive understanding of how the lack of pragmatic competence can lead to communication breakdowns and pragmatic failure. In this study, the researchers examine the pragmatic errors such as misunderstandings produced by these learners. 
Method. A qualitative approach was employed, the data were collected from conversations between teacher and Jordanian students and informal conversation through a focus group discussion taking place inside classrooms. The data were analyzed qualitatively in light of Austin’s (1962) Speech Act Theory, categorizing the data into direct and indirect speech act, and Brown & Levinson’s (1987) Politeness Theory, by determining the category of politeness -positive, negative, off-record, bald-on record or Not Applicable- for each speech act. 
Results. The results showed that despite having a strong grasp of English grammar rules, without effective communication skills in English, EFL learners may struggle to interact with native speakers and fully participate in social and professional interactions. Learners with greater exposure to cultural materials and interactions with native speakers demonstrated fewer pragmatic errors. A recurrent theme in the data was also the learners’ struggle with indirect speech acts. The main contribution of this paper is that it explores how pragmatic failure hinders message interpretation and obstructs communication.",,10.31470/2309-1797-2024-36-2-38-62,https://doi.org/10.31470/2309-1797-2024-36-2-38-62,forward
A. Ross,2018.0,The Pragmatics of Requesting in the Canadian Workplace: A Comparative Investigation of Requests Presented in Workplace ESL Textbooks and Oral Discourse Completion Task Responses,"Within the workplace, pragmatic competence contributes to the performance of difficult speech acts such as requests (Wigglesworth & Yates, 2007). A prevalent concern in teaching second language (L2) pragmatics involves pedagogical materials (Bardovi-Harlig, 2017). Although previous research has found discrepancies in pragmatic language seen in L2 textbooks and elicited responses via discourse completion tasks (DCTs) (e.g. Pablos-Ortega, 2011), workplace language textbooks have seldom been investigated. Therefore, the present study used speech act typologies (Alcon, Safont & Martinez-Flor, 2005; Trosborg, 1995) and criteria for conventional expressions (Bardovi-Harlig, 2012) to identify the most frequently-occurring requests in 17 workplace language textbooks. The same process was applied to 30 native English speakers' elicited, audio-recorded oral DCT responses. Significant differences were found in the frequency of request types identified in the textbooks and elicited responses. The results suggest that workplace language textbooks provide insufficient pragmatic input for L2 learners who are preparing for the workplace.",,10.22215/etd/2018-13238,https://doi.org/10.22215/etd/2018-13238,forward
"A. Sachtleben, H. Denny",2012.0,Making the Implicit Explicit: Raising Pragmatic Awareness in Trainee Interpreters Using Semiauthentic Spontaneous Discourse Samples,"Following the recent interest in the teaching of pragmatics and the recognition of its importance for both cross-cultural communication and new speakers of an additional language, the authors carried out an action research project to evaluate the effectiveness of a new approach to the teaching of pragmatics. This involved the use of semiauthentic discourse samples of New Zealand English to raise the pragmatic awareness of trainee interpreters in an undergraduate course taught by the first author. The researchers analysed qualitative data from learner blogs, written during instruction as part of the course requirements, for evidence that the learners noticed paralinguistic features used for pragmatic effect in conversations they overheard or took part in outside the classroom. The class teacher also kept a reflective journal recording her observations on learner progress and the usefulness of the materials. The researchers found there was a growth in the number of learners noticing pragmatic features during tuition, suggesting that the semiauthentic samples were effective as learning tools. Use of these samples also facilitated the noticing and discussion of cross-cultural differences and enabled more learner-centered methodology to be used.",,10.1002/TESJ.7,https://doi.org/10.1002/TESJ.7,forward
A. Shaeffer,2018.0,Complaints in L2 French: perception and production across social contexts,,,10.17077/etd.w81mhv1n,https://doi.org/10.17077/etd.w81mhv1n,forward
A. Trosborg,2010.0,11. Longitudinal studies in interlanguage pragmatics,,,10.1515/9783110214444.2.333,https://doi.org/10.1515/9783110214444.2.333,ancestry
A. Trosborg,2010.0,13. Assessing learnability in second language pragmatics,,,10.1515/9783110214444.3.391,https://doi.org/10.1515/9783110214444.3.391,ancestry
A. Trosborg,2010.0,Pragmatics across Languages and Cultures,"This handbook provides a comprehensive overview, as well as breaking new ground, in a versatile and fast growing field. It contains four sections: Contrastive, Cross-cultural and Intercultural Pragmatics, Interlanguage Pragmatics, Teaching and Testing of Second/Foreign Language Pragmatics, and Pragmatics in Corporate Culture Communication, covering a wide range of topics, from speech acts and politeness issues to Lingua Franca and Corporate Crises Communication. The approach is theoretical, methodological as well as applied, with a focus on authentic, interactional data. All articles are written by renowned leading specialists, who provide in-depth, up-to-date overviews, and view new directions and visions for future research.",,10.1515/9783110214444,https://doi.org/10.1515/9783110214444,forward
"A. Van Dyke, William R. Acton",2021.0,Spontaneous classroom engagement facilitating development of L2 pragmatic competence,"
The question of how to teach toward social, cultural and linguistic L2 pragmatic competence has raised serious challenges (Kasper, 1997). This is more the case for spoken rather than written discourse. As can be expected, the underlying pragmatic implications of spontaneous face-to-face communication naturally constrains the interactional scope and its potential pedagogical application. To address this issue, this naturalistic study explores two key potential contributors to the development of oral pragmatic competence: meta-pragmatic classroom conversational discourse and the course framework supporting that kind of relatively spontaneous interaction. An English for Academic Purposes (EAP) course provided fluency practice protocols, instruction in pragmatic categories, analysis of conversational data and “live” in-class intervention, focusing on meaning and alternate expressions and forms. Those interventions were designed to enhance learners’ ability to self-assess, monitor and expand their interactional repertoires. Part of a larger research project examining principles of pragmatics applied in EAP instruction, this study focuses on data from spontaneous classroom interactions situated within the integrated instructional framework of the course. Results present a range of strategies employed by the instructor consistent with current theoretical models of factors or pedagogical interventions that facilitate development of pragmatic competence.",,10.1075/PL.20011.VAN,https://doi.org/10.1075/PL.20011.VAN,forward
A. Zughaibi,2022.0,The barefoot shoemaker's son: examining EFL teachers' pragmatic competence in a Saudi context,"PurposeEnglish instructors' pragmatic competence (PC) is an aspect of the overall communicative competence forming the basis of language instructors' knowledge. Their knowledge of pragmatics should not be overlooked when seeking to understand foreign language learners' communicative ability. This study aims to investigate the pragmatic awareness and teaching practices of non-native EFL instructors with different qualifications and from various cultural backgrounds in Saudi Arabia.Design/methodology/approachTo obtain a broader perspective, this study adopted a quantitative research design. An online questionnaire, developed from Ivanova (2018) and Tulgar (2016), was accessed by 320 instructors at one English teaching institute in Saudi Arabia. The questionnaire consisted of demographic information about participants and 12 closed Likert-type questions.FindingsThe data analysis showed that most of the language instructors were aware of PC. However, some variations were evident in their views of the importance of pragmatics in teaching and learning and in their actual pragmatic teaching practices.Originality/valueThis study emphasizes the importance of pragmatic awareness for EFL instructors. It indicates that while non-native English instructors' academic levels and cumulative experience in teaching English play a major role in teaching, instructors have several challenges in teaching pragmatics and promoting students' awareness of pragmatics in this context. For effective second language teaching of pragmatics, instructors, managers and policymakers need to recognize the importance of pragmatics and competencies that students need to develop in EFL contexts.",,10.1108/sjls-02-2022-0013,https://doi.org/10.1108/sjls-02-2022-0013,forward
