authors,title,year,abstract,doi,link,search_method
"Qin Zhou, Liang Chen",Troy McConachy: Developing Intercultural Perspectives on Language Use: Exploring Pragmatics and Culture in Foreign Language Learning,2018,"… The development of intercultural competence has been increasingly considered as a key goal in foreign language curricula and the literature on intercultural learning in the second or foreign language ( … … For the foreign language teacher, according to the author, the major task is that of “socializing leaners into the practice of looking at aspect of language use in the first language (L1) and L2 as a form … … It ends with some recommendations for language teacher education and professional development.Developing Intercultural Perspectives on Language Use: Exploring Pragmatics and Culture in Foreign Language …",10.1515/ip-2018-0013,https://doi.org/10.1515/ip-2018-0013,manual_journal_search[intercultural_pragmatics]
Thi Thuy Minh Nguyen,Criticizing in an L2: Pragmatic strategies used by Vietnamese EFL learners,2008,"… Thus, it can be expected that second-language (L2) learners will also experience considerable difficulty. … … This paper reports a study of the pragmatic strategies used by Vietnamese learners of English as a foreign language (EFL) when criticizing in English with a view to shedding light on the pragmatic properties … … Second, in the case of the English language learner participants, it was necessary for them not to be studying a foreign language other than English. … … Pragmatics in Language Teaching. Cambridge: Cambridge University Press. -. 2002. Pragmatic Development in a Second Language. Oxford: Blackwell. Kecskes, Istvan and Tünde Papp. 2000. … … Foreign Language and Mother Tongue. Mahwah, NJ: Lawrence Erlbaum. LoCastro, Virginia. 2003. An Introduction to Pragmatics: Social Action for Language Teachers. …",10.1515/IP.2008.003,https://doi.org/10.1515/IP.2008.003,manual_journal_search[intercultural_pragmatics]
Karen Glaser,News from the pragmatics classroom: Contrasting the inductive and the deductive approach in the teaching of pragmatic competence,2016,"… While the role of pragmatic skills in a foreign or second language has been receiving increased attention both from a research and a language teaching perspective, there is still a lamentable scarcity … … of pragmatic skills in English as a Foreign Language (EFL), more specifically the teaching of offer refusals to 49 advanced adult EFL learners in Germany. … … 1IntroductionThe acquisition of pragmatic competence as a vital component of language mastery alongside lexico-grammatical proficiency has gained more and more importance in the foreign language classroom … … pragmatic (ILP) development, it is somewhat surprising that pragmatic intervention studies, that is, systematic empirical analyses of the effects of pragmatic instruction in the language classroom, are … … Accordingly, various recommendations have been made to include pragmatic instruction in language teaching curricula (Eslami-Rasekh 2005; Ishihara and Cohen 2010).In addition to investigating the general …",10.1515/ip-2016-0023,https://doi.org/10.1515/ip-2016-0023,manual_journal_search[intercultural_pragmatics]
"Saad Al-Gahtani, Carsten Roever",Preference structure in L2 Arabic requests,2014,"… However, little research exists on how second language learners do preference and dispreference. … … We conclude that interactions involving second language learners can be affected by the learners' developing L2 proficiency, which limits their ability to carry out social actions in a conventional way … … Pragmatic development in a second language. Oxford: Basil Blackwell. Kasper, Gabriele & Steve Ross. 2007. Multiple questions in oral proficiency interviews. Journal of Pragmatics 39. 2045-2070. … … His research interests include interlanguage pragmatics, conversation analysis and Arabic as a foreign language. … … His research interests include interlanguage pragmatics, conversation analysis, second language testing, and general second language acquisition. …",10.1515/ip-2014-0027,https://doi.org/10.1515/ip-2014-0027,manual_journal_search[intercultural_pragmatics]
Yang Pang,The cognitive saliency of word associations of verbs of speech in English as a Lingua Franca interactions,2020,"… Based on these findings, this paper concludes that ELF speakers use the prefabricated expressions in the target language system only as references, and try to develop their own word associative patterns … … In addition, it is hard for them to develop the same cognitive saliency of word associations as ENL speakers when learning a foreign language. … … speakers use less formulaic language than L1 speakers, and even advanced L2 users have difficulty with formulaic language (Ellis et al. 2008; Prodromou 2008). … … would teach the language by the er narrative that you’ve put up there hh but I don’t have a sense of how they BLEND the teaching of the lang- the text grammar that <2>you you illustratedS2:<4>erm …",10.1515/ip-2020-4002,https://doi.org/10.1515/ip-2020-4002,manual_journal_search[intercultural_pragmatics]
Tim Hassall,Influence of fellow L2 learners on pragmatic development during study abroad,2015,"… Learners noticed pragmatic features in talk produced by fellow learners that was addressed to native speakers of the target language. … … The learners also talked with each other about the pragmatics of the L2 in various ways, such as through explicit discussion, correction of each other’s performance, or the telling of personal anecdotes … … Also, some of the pragmatic input addressed to L2 learners during study abroad is “foreigner talk”: input that is especially modified for L2 speakers and does not reflect native-speaker norms (see, e.g … … While that may not be true of all L2 culture settings, it has been observed across a range of languages: native English-speaking learners of Japanese (Marriott 1995; Siegal 1996), mixed-nationality learners … … two previous findings: that study-abroad learners benefit from discussing the L2 outside class (Allen 2010; see Section 2.2) and that students in foreign-language classrooms can influence each other’s …",10.1515/ip-2015-0022,https://doi.org/10.1515/ip-2015-0022,manual_journal_search[intercultural_pragmatics]
Maria Shardakova,Intercultural pragmatics in the speech of American L2 learners of Russian: Apologies offered by Americans in Russian,2005,"… The study expands the current research on second language acquisition (SLA) into intercultural pragmatics by introducing data on the development of pragmatic competence by American second language learners … … language. … … Intercultural pragmatics in the speech of American L2 learners of Russian: Apologies offered by Americans in Russian MARIA SHARDAKOVA Abstract The study expands the current research on second language … … acquisition (SLA) into intercultural pragmatics by introducing data on the development of pragmatic competence by American second language learners of the Russian language. … … In Martin Maisa and Pirkko Muikku-Werner (eds.), Finnish and Estonian New Target Languages: Proceedings of the Fenno-Ugric Languages as Second and Foreign Languages Symposium. …",10.1515/iprg.2005.2.4.423,https://doi.org/10.1515/iprg.2005.2.4.423,manual_journal_search[intercultural_pragmatics]
"Lars Fant, Fanny Forsberg Lundell",Keeping up appearances: Impression management in native and non-native speakers of four languages,2019,"… of instruction at school, and (c) has lived his or her whole life in a context in which Swedish has been the majority language. … … An important amount of research has been carried out within the field of Second Language Pragmatics to investigate how non-native speakers develop their pragmatic competencies, which is related to our … … While studies within Second Language Pragmatics tend to concentrate on speech acts, the current study aims at investigating another important feature in cross-cultural communication, viz. impression management …",10.1515/ip-2019-0001,https://doi.org/10.1515/ip-2019-0001,manual_journal_search[intercultural_pragmatics]
Antonio García-Gómez,Intercultural and interpersonal communication failures: analyzing hostile interactions among British and Spanish university students on WhatsApp,2020,"… This, in turn, will add new empirical evidence to the expanding field of intercultural pragmatics. … … While Martínez-Flor and Alcón-Soler (2007, 2008) and Bardovi-Harlig (2001) agree on the fact that pragmatic development in an L2 can be enhanced by teaching, the latter suggests that explicit instruction … … seems to have an advantage over implicit instruction, whereas the former argue that implicit and explicit teaching instruction is required to help non-native language users associate the production of … … of English as a Foreign Language. …",10.1515/ip-2020-0002,https://doi.org/10.1515/ip-2020-0002,manual_journal_search[intercultural_pragmatics]
Ana Llinares García,A pragmatic analysis of children's interlanguage in EFL preschool contexts,2006,"… This paper presents an analysis of very young EFL (English as a Foreign Language) learners' speech in both high- and low-immersion classroom contexts. … … The purpose of the study is twofold: to develop a taxonomy of the communicative functions used in the L2 (second language) by fiveyear-old learners of English; and to analyze the distribution of these … … As Genesee (1994) points out, in second language contexts, in order to stimulate children’s use of the L2, the role of the teacher is very important. … … Computer Learner Corpora, Second Language Acquisition, and Foreign Language Learning. London: Benjamins. Gumperz, John, and Margaret Field. 1995. … … Classroom foreigner talk discourse: Forms and functions of teachers’questions. In Herbert Seliger and Michael Long (eds.), Classroom Oriented Research in Second Language Acquisition. …",10.1515/IP.2006.011,https://doi.org/10.1515/IP.2006.011,manual_journal_search[intercultural_pragmatics]
"Celeste Kinginger, Julie A. Belz",Socio-cultural perspectives on pragmatic development in foreign language learning: Microgenetic case studies from telecollaboration and residence abroad,2005,"… The aim of this essay is to explore and to illustrate the complementarity of intercultural pragmatics and socio-cultural approaches to developmental research in foreign language settings, including both … … Sie  in German) is taken as a particularly revealing example of the complexity involved in developing second language (L2) pragmatic ability. … … The emerging beliefs and instructional practices of pre-service ESL teachers. Teaching and Teacher Education 10: 439-452. Kasper, Gabriele. 2001. Four perspectives on L2 pragmatic development. … … Learning the pragmatics of solidarity in the networked foreign language classroom. In Joan Kelly Hall (ed.), Second and Foreign Language Learning through Classroom Interaction. … … Construal, convention, and constructions in L2 speech. In Michel Achard and Susanne Niemeier (eds.), Cognitive Linguistics, Second Language Acquisition, and Foreign Language Teaching. …",10.1515/iprg.2005.2.4.369,https://doi.org/10.1515/iprg.2005.2.4.369,manual_journal_search[intercultural_pragmatics]
Jean-Marc Dewaele,Multilinguals' language choice for mental calculation,2007,"… As mental calculation is a complex cognitive operation involving both language-dependent and language independent processes, we sought to establish a baseline of first language (L1) or foreign language … … These variables explained over 40 percent of the variance in the foreign languages. … … A multilingual attempting to solve a mathematical problem in a second, third, fourth, or fifth language also needs a su‰cient level of proficiency to understand the technical language in the instructions … … The L2 was defined as the second language to have been acquired, the L3 the third, etc. … … One of the big debates in Second Language Acquisition concerns the optimal age to start learning a foreign language. …",10.1515/IP.2007.017,https://doi.org/10.1515/IP.2007.017,manual_journal_search[intercultural_pragmatics]
"Hans-Georg Wolf, Frank Polzenhagen",Intercultural communication in English: Arguments for a cognitive approach to intercultural pragmatics,2006,"… Until now, academic interest in intercultural communication has largely ignored the fact that much if not most of these interactions go on in second and foreign language varieties (cf. … … Following this short discussion, we will present the results of studies involving second language (L2) speakers from different cultural backgrounds that highlight differences in conceptualizations pertaining … … has largely ignored the fact that much if not most of these interactions go on in second and foreign language varieties (cf. … … Following this short discussion, we will present the results of studies involving second language (L2) speakers from di¤erent cultural backgrounds that highlight di¤erences in conceptualizations pertaining … … second language varieties of English. …",10.1515/IP.2006.018,https://doi.org/10.1515/IP.2006.018,manual_journal_search[intercultural_pragmatics]
"Kathleen Bardovi-Harlig, Maria-Thereza Bastos","Proficiency, length of stay, and intensity of interaction and the acquisition of conventional expressions in L2 pragmatics",2011,"… This study investigates the contribution of proficiency, length of stay, and intensity of interaction to the recognition and use of conventional expressions in L2 pragmatics by host-environment learners … … Intensity of interaction was measured by self-report of weekly English language use outside class with native speakers, daily use with other learners, and television viewing. … … Developing pragmatic fluency in English as a foreign language: Routines and metapragmatic awareness. Studies in Second Language Acquisition 17. 225-252. Kasper, Gabriele & Shoshona Blum-Kulka. 1993. … … In Alicia Martínez, Esther Usó Juan, & Ana Fernández (eds.), Pragmatic competence and foreign language teaching, 161-184. Castellon, Spain: Servei de Publicacions de la Univerisitat Jaume I. … … Pragmatics 4. 357-389. Shively, Rachel L. 2010. From the virtual world to the real world: A model of pragmatics instruction for study abroad. Foreign Language Annals 43. 108-137. Siegal, Meryl. 1996. …",10.1515/iprg.2011.017,https://doi.org/10.1515/iprg.2011.017,manual_journal_search[intercultural_pragmatics]
Chiara Zamborlin,Going beyond pragmatic failures: Dissonance in intercultural communication,2007,"… They were produced in Japanese by a female native speaker of Italian (the author of this paper) interacting in Japan with native speakers of the target language and culture. … … Given that dissonances may have consequences on the interpersonal level, and given that the utterances under analysis are in Japanese, a review of some influential studies on Japanese (im)politeness will … … Thomas’ (1983) description became crucial in the field of foreign language teaching (particularly ESL). … … in the L2. c. … … During her second year in Japan, S was taking an intensive intermediate-level Japanese course at a language school. Once, the young teacher wrote an ideogram on the whiteboard in an incorrect way. …",10.1515/IP.2007.002,https://doi.org/10.1515/IP.2007.002,manual_journal_search[intercultural_pragmatics]
Liya Zalaltdinova,“Stop doing this at once!”: The preferred use of modality for advice-giving by English language learners,2018,"… This study seeks to explore (1) how English Language Learners (ELLs) of Chinese, German and Brazilian backgrounds develop their pragmatic knowledge of modality use for advice/suggestion-giving in English … … For that purpose, a dataset was developed by analyzing 270 advise-giving ELLs’ essays from the EF-Cambridge Open Language Database for the use of modal devices by learners at elementary, intermediate and … … According to Dual Language Model, there are no separate pragmatic competences of L1 and of L2, there is only one pragmatic competence that is gradually modified under the influence of emergent L2 information … … It is the “first freely available large learner corpus exploiting online foreign language learning”. … … English as a foreign language (EFL). …",10.1515/ip-2018-0010,https://doi.org/10.1515/ip-2018-0010,manual_journal_search[intercultural_pragmatics]
"Eva Alcón Soler,",Teachability and bilingualism effects on third language learners' pragmatic knowledge,2012,"… The present study focuses on the benefits that teaching the speech act of refusal from a discourse perspective can have on third language learners' pragmatic knowledge. … … Findings of the study add new insights on how bilingualism may influence third language pragmatic learning in instructional settings. … … Pragmatics in instructed language learning. (Special issue) System, 33(3). Alcón, Eva & Alicia Martínez-Flor (eds.). 2008. Investigating pragmatics in foreign language learning, teaching and testing. … … The interactive effects of pragmatic-eliciting tasks and pragmatic instruction. Foreign Language Annals, 41(3). 478-500. Gass, Susan & Nöel Houck. 1999. … … Teaching and learning pragmatics: Where language and culture meet. Harlow: Longman. Jeon, Eun H. & Tadayoshi Kaya. 2006. Effects of L2 instruction on interlanguage pragmatic development. In John M. …",10.1515/ip-2012-0028,https://doi.org/10.1515/ip-2012-0028,manual_journal_search[intercultural_pragmatics]
"Masahiro Takimoto,",Assessing the effects of identical task repetition and task-type repetition on learners' recognition and production of second language request downgraders,2012,"… The present study explores the relative effectiveness of two types of task repetition for teaching polite request forms to Japanese learners of English: the identical task repetition (the repetition of … … The results implied that identical task repetition stimulates deeper perceptual and mental processing than task-type repetition in learners' recognition and production of second language (L2) request downgraders … … Kasper and Rose (2002) argued that some form of explicit instruction is essential in teaching L2 pragmatics because speech-act strategies in a second language (L2) are often not salient enough for learners … … Teaching language as oral communication: Everyday life performance in foreign language instruction. Communication Education 47. 221-223. 92 Masahiro Takimoto Taguchi, Naoko. 2008. … … Building language blocks in L2 Japanese: Chunk learning and the development of complexity and fluency in spoken production. Foreign Language Annals 41. 130 154. Takahashi, Satomi. 1996. …",10.1515/ip-2012-0004,https://doi.org/10.1515/ip-2012-0004,manual_journal_search[intercultural_pragmatics]
Michael Clyne,"Some thoughts on pragmatics, sociolinguistic variation, and intercultural communication",2006,"… basis for second language studies and language curriculum materials. … … Central to the discussion is the issue of what pragmatic norms should be expected of second language learners. … … basis for second language studies and language curriculum materials. … … Central to the discussion is the issue of what pragmatic norms should be expected of second language learners. … … The reality is that most learners of English need to be equipped to communicate with first, second, and foreign language users from a range of cultures. …",10.1515/IP.2006.005,https://doi.org/10.1515/IP.2006.005,manual_journal_search[intercultural_pragmatics]
Andrew D. Cohen,Strategies for learning and performing L2 speech acts,2005,"… Relevant language learner strategy literature and speech act literature are reviewed. … … This is followed by a review of literature on efforts to teach pragmatics. The article concludes with a discussion of suggested avenues for validating the strategy taxonomy. … … A second study involving both explicit and implicit teaching of pragmatic routines to beginning learners of Japanese L2 also seemed to slightly favor the explicit treatment (Tateyama 2001). … … Web-based curricular materials for pragmatics instruction in Japanese as a foreign language. Unpublished doctoral dissertation paper. … … Pragmatic instruction in the EFL context. In Alicia Martı́nez Flor, Esther Usó Juan, and Ana Fernández Guerra (eds.), Pragmatic Competence and Foreign Language Teaching. …",10.1515/iprg.2005.2.3.275,https://doi.org/10.1515/iprg.2005.2.3.275,manual_journal_search[intercultural_pragmatics]
"Berit Aronsson, Lars Fant",Boundary tones in non-native speech: The transfer of pragmatic strategies from L1 Swedish into L2 Spanish,2014,"… The pragmatic functions of pitch at tone unit boundaries are studied in L2 Spanish spoken by Swedish learners, as compared to L1 Swedish and L1 Spanish. … … Conversely, rises in L2 Spanish frequently occur where L1 Spanish speakers prefer falls. … … Finally, in a foreign-language teaching and learning perspective, it should not be forgotten that the L2 prosodic patterns described, which to a large extent can be identified as transferred from Swedish … … Factors affecting the perception and production of L2 prosody: Research results and their implications for the teaching of foreign languages. … … She is currently preparing her doctoral dissertation in Second Language Acquisition and Teaching with special interest in the acquisition of prosodic patterns in Spanish as foreign language. …",10.1515/ip-2014-0008,https://doi.org/10.1515/ip-2014-0008,manual_journal_search[intercultural_pragmatics]
"Daniel Martín González, Gitte Kristiansen",Martin Pütz Justyna A. Robinson Monika Reif: Cognitive Sociolinguistics: Social and Cultural Variation in Cognition and Language Use,2017,"… In this sense, according to Labov, first language acquisition undergoes two main stages: a primary phase in which the individual imitates his/her caretakers, and a second one in which s/he diverges from … … in L2-variety dictionaries of English”, Hans-Georg Wolf and Frank Polzenhagen shed light on the interaction of language, society and cognition through a usage-based approach to dictionary-making. … … The authors argue that in order to enhance language learning by understanding the target culture, L2-variety dictionaries ought to encompass the representation of conceptual metaphors, idiomacity and fixed …",10.1515/ip-2017-0026,https://doi.org/10.1515/ip-2017-0026,manual_journal_search[intercultural_pragmatics]
Doris Dippold,Face and self-presentation in spoken L2 discourse: Renewing the research agenda in interlanguage pragmatics,2009,"… This paper introduces a more nuanced view of face and facework than the commonly used frameworks in interlanguage pragmatics. … … It then argues that the field of interlanguage pragmatic should move away from its focus on politeness in a limited set of speech acts and focus also on self-presentation. … … With regard to the learning and teaching of foreign languages, Riley further makes the point that, although everybody would agree that foreign languages are learned in order to express oneself, the issue … … Pragmatics in second language learning. In Handbook of Research in Second Language Teaching and Learning. Elli Hinkel (ed.), 317-333. Mahwah: Lawrence Erlbaum. Kienpointner, Manfred (1997). … … Language in Society 22: 193-216. LoCastro, Virginia (2001). Individual di¤erences in second language acquisition: Attitudes, learner subjectivity, and L2 pragmatic norms. System 29(1): 69-89. …",10.1515/IPRG.2009.001,https://doi.org/10.1515/IPRG.2009.001,manual_journal_search[intercultural_pragmatics]
Gerrard Mugford,Foreign-language users confronting anti-normative politeness in a Mexican university,2013,"… When foreign-language learners abandon the relative safety of the classroom and confront actual language use, they face decisions regarding how they wish to participate in a given target-language group … … The foreign-language user's decision as to whether to engage in such practices will depend to a large extent on pragmalinguistic and sociopragmatic understandings and how she wants to come across – and … … DOI 10.1515/ip-2013-0004   Intercultural Pragmatics 2013; 10(1): 101 - 130 Gerrard Mugford Foreign-language users confronting anti-normative politeness in a Mexican university Abstract: When foreign-language … … Secondly, L2 users need to understand the communicative force behind the use of taboo and swearwords. … … In the second text, which takes place in a school in the United States, Roberto, a teacher, is looking for a fellow teacher, Ana. …",10.1515/ip-2013-0004,https://doi.org/10.1515/ip-2013-0004,manual_journal_search[intercultural_pragmatics]
Roberto A. Valdeón,The (ab)use of taboo lexis in audiovisual translation: Raising awareness of pragmatic variation in English-Spanish,2015,"… This difficult area of the L2 has been brought to the fore after the publication of two corpus-driven grammars (Biber et al. 1999; Carter and McCarthy 2006). … … For the second hypothesis all six episodes of series 1 were used. … … of recent approaches to translation in language teaching and learning, with particular attention to audiovisual translation as an exercise in the L2 classroom. … … Translation has also been used in testing pragmatic competence, e. g. for the pair English and Japanese (LoCastro 1997).This paper proposes audiovisual translation as a pedagogical tool in the L2 classroom … … The task served to introduce and situate one of the most controversial linguistic areas in the teaching of a foreign language, its taboo lexis. …",10.1515/ip-2015-0018,https://doi.org/10.1515/ip-2015-0018,manual_journal_search[intercultural_pragmatics]
