authors,title,year,abstract,doi,link,search_method
Søren W. Eskildsen,Constructing another Language—Usage-Based Linguistics in Second Language Acquisition,2008,"...-Harlig  K    ‘A new starting point? Investigating formulaic use and input in future expression,’  Studies in Second Language Acquisition  2002  24  2  189  98         Bardovi-Harlig  K      Bardovi-Harlig  K    Félix-Brasdefer  C    Omar  A    ‘On the role of formulas in the acquisition of L2 pragmatics...",10.1093/applin/amn037,https://doi.org/10.1093/applin/amn037,manual_journal_search[applied_linguistics]
John Hellermann and Elizabeth Cole,Practices for Social Interaction in the Language-Learning Classroom: Disengagements from Dyadic Task Interaction,2008,"... a conduit for learning but reflexively, a stimulus to and raw material for learning as well.   Following José's second claim of lack of ability, the teacher makes a more specific directive (lines 12–13), which is directed and responded to by the entire class (line 14). José hears the teacher and class say...",10.1093/applin/amn032,https://doi.org/10.1093/applin/amn032,manual_journal_search[applied_linguistics]
Cade Bushnell,‘Lego my keego!’: An Analysis of Language Play in a Beginning Japanese as a Foreign Language Classroom,2008,"...]        Bell  N    ‘Exploring L2 language play as an aid to SLL: A case study of humour in NS–NNS interaction,’  Applied Linguistics  2005  26  2  192  218         Belz  J    ‘The myth of the deficient communicator,’  Language Teaching Research  2002  6  1  59  82         Belz  J    ‘Second language play...",10.1093/applin/amn033,https://doi.org/10.1093/applin/amn033,manual_journal_search[applied_linguistics]
Kata Csizér and Judit Kormos,Modelling the Role of Inter-Cultural Contact in the Motivation of Learning English as a Foreign Language,2008,"... for several reasons. First of all, one of the main aims of learning second and foreign languages (L2) is to be able to communicate with members of other cultures who do not speak one's mother tongue. This is especially true in the case of students whose mother tongue is only spoken by a relatively small...",10.1093/applin/amn025,https://doi.org/10.1093/applin/amn025,manual_journal_search[applied_linguistics]
Christoph Rühlemann,A Register Approach to Teaching Conversation: Farewell to Standard English?,2008,"... in relation to SE, concluding that the contrast between the grammars of conversation and SE is so stark that the notion of SE is problematic in talking of the spoken language. Second, I consider what this contrast implies for EFL teaching, arguing that for authentic conversation to be taught effectively...",10.1093/applin/amn023,https://doi.org/10.1093/applin/amn023,manual_journal_search[applied_linguistics]
Claire Kramsch and Anne Whiteside,Language Ecology in Multilingual Settings. Towards a Theory of Symbolic Competence,2008,".... The prototypical communicative exchange, used by researchers to explore the processes of second language acquisition, and by teachers (and textbooks) to teach communicative or intercultural competence in a foreign language, usually includes two or three interlocutors, who all conduct the interaction in the same...",10.1093/applin/amn022,https://doi.org/10.1093/applin/amn022,manual_journal_search[applied_linguistics]
Julia Menard-Warwick,"‘Because She Made Beds. Every Day’. Social Positioning, Classroom Discourse, and Language Learning",2008,"... care of kids and cook or sew’ (Teacher Interview, 29 January 2003). In the above interview excerpt, an English as a Second Language (ESL) instructor explains her approach to teaching a unit on employment skills to Latina immigrant women in California. This approach is based on her perception that her...",10.1093/applin/amm053,https://doi.org/10.1093/applin/amm053,manual_journal_search[applied_linguistics]
Steven Talmy,"The Cultural Productions of the ESL Student at Tradewinds High: Contingency, Multidirectionality, and Identity in L2 Socialization",2008,"... offers the means to demonstrate the fundamental contingency and multidirectionality of socialization as it is—or is not—collaboratively achieved. Despite these analytic means, there has been some recent debate, particularly among second language (L2) LS scholars, concerning the extent to which...",10.1093/applin/amn011,https://doi.org/10.1093/applin/amn011,manual_journal_search[applied_linguistics]
Kathy Conklin and Norbert Schmitt,Formulaic Sequences: Are They Processed More Quickly than Nonformulaic Language by Native and Nonnative Speakers?,2008,"... of native and non-native speakers’ in  Researching Pedagogic Tasks: Second Language Learning, Teaching, and Testing.  2001  Harlow  Longman  75  93        Frenck-Mestre  C    ‘Eye-movement recording as a tool for studying syntactic processing in a second language: A review of methodologies and experimental...",10.1093/applin/amm022,https://doi.org/10.1093/applin/amm022,manual_journal_search[applied_linguistics]
Vaidehi Ramanathan,Applied Linguistics Redux: A Derridean Exploration of Alzheimer Lifehistories,2008,... University Press        Kramsch  C      Lantolf  J    ‘Social discursive constructions of self in L2 learning’  Sociocultural Theory and Second Language Learning.  2000  London  Longman  129  53        Kramsch  C    Lam  W      Braine  G    ‘Textual identities: The importance of being non-native’  Non-Native...,10.1093/applin/amm013,https://doi.org/10.1093/applin/amm013,manual_journal_search[applied_linguistics]
Kathy Conklin and Norbert Schmitt,Formulaic Sequences: Are They Processed More Quickly than Nonformulaic Language by Native and Nonnative Speakers?,2008,"... of native and non-native speakers’ in  Researching Pedagogic Tasks: Second Language Learning, Teaching, and Testing.  2001  Harlow  Longman  75  93        Frenck-Mestre  C    ‘Eye-movement recording as a tool for studying syntactic processing in a second language: A review of methodologies and experimental...",10.1093/applin/amm022,https://doi.org/10.1093/applin/amm022,manual_journal_search[applied_linguistics]
Numa Markee,Toward a Learning Behavior Tracking Methodology for CA-for-SLA,2008,"... perspective of face-to-face interaction,’  Applied Linguistics  1995  16  2  206  32         Hall  JK      Hinkel  E    ‘A prosaics of interaction: The development of interactional competence in another language’  Culture in Second Language Teaching and Learning.  1999  New York  Cambridge University Press...",10.1093/applin/amm052,https://doi.org/10.1093/applin/amm052,manual_journal_search[applied_linguistics]
Asta Cekaite,"Soliciting Teacher Attention in an L2 Classroom: Affect Displays, Classroom Artefacts, and Embodied Action",2008,"... of delicately calibrated collaborative accomplishments. L2 novices  summonses  embodied action  affective stances  classroom artefacts  The present paper explores how primary school students solicit and secure teachers’ attention and participation in an immersion class context, where a second language (L2...",10.1093/applin/amm057,https://doi.org/10.1093/applin/amm057,manual_journal_search[applied_linguistics]
Polly Björk-Willén,Routine Trouble: How Preschool Children Participate in Multilingual Instruction,2008,"... the interaction between three 1st-grade second language learners, showing how their talk draws upon routine features of teacher–student interaction. Clearly, drawing on institutionally established routines for accomplishing recurrent, and hence recognizable, activities is an important resource in second language...",10.1093/applin/amm051,https://doi.org/10.1093/applin/amm051,manual_journal_search[applied_linguistics]
Masahiro Takimoto,The Effects of Input-Based Tasks on the Development of Learners' Pragmatic Proficiency,2007,"... of participants’ advanced proficiency and the relative easiness of the pragmalinguistic target features.  Among the issues in second language (L2) pragmatics, a fundamental question is which instructional approaches are most effective for teaching L2 pragmatics. Most studies that compare the effectiveness...",10.1093/applin/amm049,https://doi.org/10.1093/applin/amm049,manual_journal_search[applied_linguistics]
Janet Holmes,Making Humour Work: Creativity on the Job,2007,... of workplace objectives. This can be described as the use of humour to foster workplace creativity. This is humour which involves creative work-relevant ideas. Examples of this second type of humour support claims that humour provides evidence of intellectual stimulation and creative responses...,10.1093/applin/amm048,https://doi.org/10.1093/applin/amm048,manual_journal_search[applied_linguistics]
Anne Pomerantz and Nancy D. Bell,"Learning to Play, Playing to Learn: FL Learners as Multicompetent Language Users",2007,"... foreign language (FL) teachers at the university level have embraced communicative approaches, classrooms now offer opportunities for new and more varied forms of talk, including language play. Whereas choral repetitions, grammar drills, and translations were once the norm, contemporary FL classrooms...",10.1093/applin/amm044,https://doi.org/10.1093/applin/amm044,manual_journal_search[applied_linguistics]
Loretta Fung and Ronald Carter,Discourse Markers and Spoken English: Native and Learner Use in Pedagogic Settings,2007,"...); Wouk  2001  (Indonesian)). However, relatively limited research has been undertaken on the range and variety of DMs used in spoken English by second or foreign language speakers. Comparative usage between native and non-native speakers and the pedagogical significance they have in an ESL/EFL classroom...",10.1093/applin/amm030,https://doi.org/10.1093/applin/amm030,manual_journal_search[applied_linguistics]
J. Charles Alderson,Judging the Frequency of English Words,2007,"... of individuals. Further research is needed into the nature of intuitions about word frequency.  Knowledge of words and their meanings is a crucial component of language proficiency, both for first language acquisition and for second and foreign language learning. In the past 30 years, much thought and research...",10.1093/applin/amm024,https://doi.org/10.1093/applin/amm024,manual_journal_search[applied_linguistics]
Bruce Anderson,Pedagogical Rules and their Relationship to Frequency in the Input: Observational and Empirical Data from L2 French,2007,"... word-order constructions,’  Pedagogical Norms for Second and Foreign Language Learning and Teaching  2002  Amsterdam  Benjamins  183  98        Koike  DA    Liskin-Gasparro  JE      Blyth  CS    ‘Privilege of the nonnative speaker meets practical needs of the language teacher,’  The Sociolinguistics...",10.1093/applin/amm015,https://doi.org/10.1093/applin/amm015,manual_journal_search[applied_linguistics]
Ken Hyland,Applying a Gloss: Exemplifying and Reformulating in Academic Discourse,2007,... rhetorical categories which can have a range of meanings. I will return to what these meanings might be in academic writing after describing the text corpora which forms the basis of the analysis. Exemplification is a communication process through which meaning is clarified or supported by a second unit...,10.1093/applin/amm011,https://doi.org/10.1093/applin/amm011,manual_journal_search[applied_linguistics]
Aneta Pavlenko,Autobiographic Narratives as Data in Applied Linguistics,2007,"... are not to blame however: none of the textbooks on second language (L2) research teach them how to analyze narratives, either fictional or personal, nor do guides to the analysis of life histories deal with the unique challenges of translating one's life story into a second language. The purpose of this paper...",10.1093/applin/amm008,https://doi.org/10.1093/applin/amm008,manual_journal_search[applied_linguistics]
Jae-Eun Park,Co-construction of Nonnative Speaker Identity in Cross-cultural Interaction,2007,"...,’  Research on Language and Social Interaction  1995  28  3  171  83         Kachru  BB    Nelson  CL      McKay  SL    Hornberger  NH    ‘World Englishes’  Sociolinguistics and Language Teaching  1996  Cambridge  Cambridge University Press        Kasper  G    Rose  KR    Pragmatic Development in a Second...",10.1093/applin/amm001,https://doi.org/10.1093/applin/amm001,manual_journal_search[applied_linguistics]
Naoko Taguchi,Task Difficulty in Oral Speech Act Production,2007,"... of tasks in which second language (L2) learners engage to achieve language functions (Bygate et al. 2001 ; Crookes and Gass  1993 ; Ellis  2003 ; Robinson  2001 ; Skehan  1996 ,  1998 ). When describing tasks, previous research mainly used variables from a cognitive, information-processing...",10.1093/applin/aml051,https://doi.org/10.1093/applin/aml051,manual_journal_search[applied_linguistics]
Ikuko Nakane,Problems in Communicating the Suspect's Rights in Interpreted Police Interviews,2007,"... and teacher–parent/student. This mode of interpreting is characterised by dialogic communication (Wadensjö  1998 ; Russell  2002 ). The questioning phase of a police interview is generally also dialogic. However, the ‘read-aloud’ or ‘reciting’ mode of communication in police caution delivery may...",10.1093/applin/aml050,https://doi.org/10.1093/applin/aml050,manual_journal_search[applied_linguistics]
Lynne Cameron and Alice Deignan,The Emergence of Metaphor in Discourse,2006,"... in the use of metaphor are inseparable from their lexico-grammatical form and ideational content. Before that, we briefly report our datasets and analytical methods.  The reported patterns of metaphor use in contextualised interaction draw on findings from two studies: classroom discourse between teachers...",10.1093/applin/aml032,https://doi.org/10.1093/applin/aml032,manual_journal_search[applied_linguistics]
Diane Larsen-Freeman,"The Emergence of Complexity, Fluency, and Accuracy in the Oral and Written Production of Five Chinese Learners of English",2006,"... a powerful influence on L2 development (Larsen-Freeman  1997 ). However, the process of second language acquisition is also likely to involve morphogenesis, the creation of novel forms (Larsen-Freeman  2003 ), one in which learners actively transform their linguistic world, not just conform to it (Donato...",10.1093/applin/aml029,https://doi.org/10.1093/applin/aml029,manual_journal_search[applied_linguistics]
Yo-An Lee,Towards Respecification of Communicative Competence: Condition of L2 Instruction or its Objective?,2006,... a view of the members’ competent undertaking of their discourse and this competence is something that sustains and organizes the practical life of the L2 classroom.  The second excerpt shows a questioning sequence in another ESL classroom. Questioning is one of the most familiar forms of teacher talk...,10.1093/applin/aml011,https://doi.org/10.1093/applin/aml011,manual_journal_search[applied_linguistics]
John Hellermann,Classroom Interactive Practices for Developing L2 Literacy: A Microethnographic Study of Two Beginning Adult Learners of English,2006,".... For the students in this study, ‘L2’ refers to English. It may not be, however, that English is these students’ ‘second’ language as the abbreviation implies.  The majority of learners at the data collection site for this study (known locally as ‘the Lab School’) are working adults who, as adults, bring...",10.1093/applin/ami052,https://doi.org/10.1093/applin/ami052,manual_journal_search[applied_linguistics]
Maggie Charles,The Construction of Stance in Reporting Clauses: A Cross-disciplinary Study of Theses,2006,"... (a) was relocated … (mat2)   A second use is with nominalizations of research processes (about 18 per cent). Here specific actions performed by the researcher provide the basis for the claims put forward. The use of such forms enables the writer to maintain impersonality on the surface, while at the same time...",10.1093/applin/aml021,https://doi.org/10.1093/applin/aml021,manual_journal_search[applied_linguistics]
Joan Kelly Hall and others,Reconceptualizing Multicompetence as a Theory of Language Knowledge,2006,"... educator, and Cook ( 1999 ) and Gomes de Matos ( 2002 ) on the L2 learner. While these research efforts have indeed been useful in advancing a more positive view of second language learners, we submit that they have been less successful in transforming understandings of language knowledge. One reason...",10.1093/applin/aml013,https://doi.org/10.1093/applin/aml013,manual_journal_search[applied_linguistics]
Junko Mori and Makoto Hayashi,The Achievement of Intersubjectivity through Embodied Completions: A Study of Interactions Between First and Second Language Speakers,2006,"...Junko Mori; Makoto Hayashi © Oxford University Press 2006  2006 Abstract  This study examines casual interactions between first language (L1) and second language (L2) speakers of Japanese, paying special attention to the coordination of vocal and non-vocal resources that are brought to bear...",10.1093/applin/aml014,https://doi.org/10.1093/applin/aml014,manual_journal_search[applied_linguistics]
Christiane Dalton-Puffer and Tarja Nikula,Pragmatics of Content-based Instruction: Teacher and Student Directives in Finnish and Austrian Classrooms,2006,"...Christiane Dalton-Puffer; Tarja Nikula © Oxford University Press 2006  2006 Abstract  Using a pragmatic framework, this paper examines how directives are performed by teachers and students in Finnish and Austrian CLIL classrooms, that is settings where a foreign language (in this case English...",10.1093/applin/aml007,https://doi.org/10.1093/applin/aml007,manual_journal_search[applied_linguistics]
Keith Richards,‘Being the Teacher’: Identity and Classroom Conversation,2006,"... explicitly concedes that conversation is possible within the physical setting but denies that it can be part of a ‘lesson’:   As soon as the teacher instructs the learners to ‘have a conversation in English’, the institutional purpose [‘to teach English’] will be invoked, and the interaction could...",10.1093/applin/ami041,https://doi.org/10.1093/applin/ami041,manual_journal_search[applied_linguistics]
Richard Xiao and Tony McEnery,"Collocation, Semantic Prosody, and Near Synonymy: A Cross-Linguistic Perspective",2006,"... even distinctly unrelated languages such as English and Chinese may demonstrate similarity in the collocational behaviour and semantic prosody/preference of near synonyms, it is the teacher's responsibility to show learners which synonymous item in an L1 most closely matches which in an L2. Second...",10.1093/applin/ami045,https://doi.org/10.1093/applin/ami045,manual_journal_search[applied_linguistics]
Yuri Hosoda,Repair and Relevance of Differential Language Expertise in Second Language Conversations,2006,"... of the most prominent categories in applied linguistics, especially in the domains of second language learning and teaching. Applied linguists inherited Chomsky's designation of an (idealized) native speaker competence as the proper object for the study of grammar, and the expansion of competence from...",10.1093/applin/ami022,https://doi.org/10.1093/applin/ami022,manual_journal_search[applied_linguistics]
Claire Kramsch,Post 9/11: Foreign Languages between Knowledge and Power,2005,"... of language resource centers that do research related to the learning and teaching of foreign languages, including English as a second language. It also funds fellowships for learning foreign languages and studying their respective areas of the world (FLAS). An interesting debate emerged recently in Germany...",10.1093/applin/ami026,https://doi.org/10.1093/applin/ami026,manual_journal_search[applied_linguistics]
Greg Myers,Applied Linguists and Institutions of Opinion,2005,"....  149 –57.     Brumfit, C. J.  1995 . ‘Teacher professionalism and research’ in G. Cook and B. Seidlhofer (eds):  Principle and Practice in Applied Linguistics . Oxford: Oxford University Press, pp.  27 –41.     Bulmer, M.  (ed.)  2004 .  Questionnaires . Sage Benchmarks in Social Research Methods...",10.1093/applin/ami025,https://doi.org/10.1093/applin/ami025,manual_journal_search[applied_linguistics]
Hansun Zhang Waring,"Peer Tutoring in a Graduate Writing Centre: Identity, Expertise, and Advice Resisting",2005,"... Oxford University Press 2005 doi:10.1093/applin/amh041 Peer Tutoring in a Graduate Writing Centre: Identity, Expertise, and Advice Resisting  HANSUN ZHANG WARING Teachers College, Columbia University     Compared to research on the giving of advice (e.g. Hutchby 1995), relatively    less work...",10.1093/applin/amh041,https://doi.org/10.1093/applin/amh041,manual_journal_search[applied_linguistics]
Asta Cekaite and Karin Aronsson,"Language Play, a Collaborative Resource in Children's L2 learning",2005,"...’ acquisition of a second language (Lantolf 1997; Ohta 2001). Moreover, teachers’ joking and playful formats in L2 classrooms have been addressed in investigations by Sullivan (2000a, b) and van Dam  (2002).   Within such ludic models of language learning, language play is seen as a pedagogic tool...",10.1093/applin/amh042,https://doi.org/10.1093/applin/amh042,manual_journal_search[applied_linguistics]
Nancy D. Bell,Exploring L2 Language Play as an Aid to SLL: A Case Study of Humour in NS–NNS Interaction,2005,"...Nancy D. Bell © Oxford University Press 2005  2005 Abstract  In the past few years researchers have begun to show an interest in humour and language play as it relates to second language learning (SLL). Tarone (2000) has suggested that L2 language play may be facilitative of SLL, in particular...",10.1093/applin/amh043,https://doi.org/10.1093/applin/amh043,manual_journal_search[applied_linguistics]
Satomi Takahashi,Pragmalinguistic Awareness: Is it Related to Motivation and Proficiency?,2005,"... possible effects of individual difference (ID) variables on learners' noticing of pragmalinguistic features. Among the ID variables, this study focused on motivation and proficiency, exploring their relationships with Japanese EFL learners' awareness of six types of L2 pragmalinguistic features under...",10.1093/applin/amh040,https://doi.org/10.1093/applin/amh040,manual_journal_search[applied_linguistics]
Ronald R. Butters,"How Not to Strike it Rich: Semantics, Pragmatics, and Semiotics of a Massachusetts Lottery Game Card",2004,,10.1093/applin/25.4.466,https://doi.org/10.1093/applin/25.4.466,manual_journal_search[applied_linguistics]
G Kasper,Four perspectives on L2 pragmatic development,2001,...G Kasper Abstract  L2 learners' development of pragmatic ability has been studied from a variety of theoretical perspectives. This paper seeks to assess the contributions made by different approaches to interlanguage pragmatics as a subfield of Second Language Acquisition. A first approach locates...,10.1093/applin/22.4.502,https://doi.org/10.1093/applin/22.4.502,manual_journal_search[applied_linguistics]
G Cook,'The philosopher pulled the lower jaw of the hen'. Ludicrous invented sentences in language teaching,2001,"..., it is less so that teachers and textbook writers use such      sentences themselves.      (. . .) Individual sentencesÐexcept those which can readily be identi®ed      as sentential lexical itemsÐare meaningless when decontextualised. 368  LUDICROUS INVENTED SENTENCES IN LANGUAGE TEACHING...",10.1093/applin/22.3.366,https://doi.org/10.1093/applin/22.3.366,manual_journal_search[applied_linguistics]
EC Berg,"Review. Stimulated Recall Methodology in Second Language Research. SM Gass, A Mackey",2001,"... of a range of research on second language learning that has utilized stimulated recall methodology. This research includes topics such as L2 writing choices and processes, L2 teachers' decisions, L2 readingand lexical use, L2 oral interaction and L2 strategy and inference use. A helpful table summarizes...",10.1093/applin/22.3.397,https://doi.org/10.1093/applin/22.3.397,manual_journal_search[applied_linguistics]
M Stubbs,"Texts, corpora, and problems of interpretation: a response to Widdowson",2001,"..., cognitive, and social phenomena.   In fact, Widdowson criticizes three distinct areas: (1) corpus linguistics, (2) critical discourse analysis, and (3) the applications of corpus data in language teaching. I will deal only with (1) in any detail, since here lie the fundamental questions. Only if we can...",10.1093/applin/22.2.149,https://doi.org/10.1093/applin/22.2.149,manual_journal_search[applied_linguistics]
G Thompson,Interaction in academic writing: learning to argue with the reader,2001,"... of a dialogue between writer and reader in which, as Widdowson .1984: 59) argues, `the writer has to conduct his interaction by enacting the roles of both participants'. That is, pro®cient writers attempt to second-guess the kind of information that readers might want or expect to ®nd at each point...",10.1093/applin/22.1.58,https://doi.org/10.1093/applin/22.1.58,manual_journal_search[applied_linguistics]
R de Beaugrande,Interpreting the discourse of HG Widdowson: a corpus-based critical discourse analysis,2001,"... language is used to    manipulate them /9). Such theoretical and abstract formulations might prove dicult to con®rm or contest, especially for language teachers who want concrete and practical advice.   Looking back `25 years' to when `linguistics was de®ned along traditional and  formal lines...",10.1093/applin/22.1.104,https://doi.org/10.1093/applin/22.1.104,manual_journal_search[applied_linguistics]
R de Beaugrande,Interpreting the discourse of HG Widdowson: a corpus-based critical discourse analysis,2001,"... language is used to    manipulate them /9). Such theoretical and abstract formulations might prove dicult to con®rm or contest, especially for language teachers who want concrete and practical advice.   Looking back `25 years' to when `linguistics was de®ned along traditional and  formal lines...",10.1093/applin/22.1.104,https://doi.org/10.1093/applin/22.1.104,manual_journal_search[applied_linguistics]
A Wray,Formulaic sequences in second language teaching: principle and practice,2000,"... to the teaching of formulaic sequences. 468  FORMULAIC SEQUENCES IN SECOND LANGUAGE TEACHING  THE TEACHING OF FORMULAIC SEQUENCES There is general consensus that formulaic sequences are extremely dicult for the L2 learner to master (Moon 1992, Scarcella 1979, Yorio 1980, 1989). Kuiper and Tan Gek Lin (1989...",10.1093/applin/21.4.463,https://doi.org/10.1093/applin/21.4.463,manual_journal_search[applied_linguistics]
K Billmyer and M Varghese,Investigating instrument-based pragmatic variability: effects of enhancing discourse completion tests,2000,"... instruments that have as many administrative advantages as the DCT, making it, practically speaking, a resource pragmatics testing and teaching will continue to rely on. Furthermore, a better understanding of communication in such a constructed context may help us gain a better understanding of authentic...",10.1093/applin/21.4.517,https://doi.org/10.1093/applin/21.4.517,manual_journal_search[applied_linguistics]
Z Kurtán,"Review. Reading Science: Critical and Functional Perspectives on Discourses of Science. JR Martin, R Veel (eds)",2000,... broad range of perspectives while discussing various aspects of reading science in a theoretically integrative framework. It should attract and stimulate a wide range of audiences as it has a great deal to oer for both academics and teachers...,10.1093/applin/21.4.572,https://doi.org/10.1093/applin/21.4.572,manual_journal_search[applied_linguistics]
J Wong,Delayed next turn repair initiation in native/non-native speaker English conversation,2000,"... the necessary and sucient conditions for successful second language acquisition are, and, in this regard, the notion of input and interaction lies at the core +Gallaway and Richards 1994; Long 1983; Gass and Madden 1985; Pica 1988; Schachter 1984). Many researchers regard input, which includes...",10.1093/applin/21.2.244,https://doi.org/10.1093/applin/21.2.244,manual_journal_search[applied_linguistics]
EA Schegloff,When 'others' initiate repair,2000,".... The organizationally relevant way of understanding this is to dierentiate between repairs initiated by the speaker of the problematic talk!what we refer to as `the trouble-source' or `repairable') and those initiated by anyone elseÐself-initiation and other- initiation respectively.   Second, there is the matter...",10.1093/applin/21.2.205,https://doi.org/10.1093/applin/21.2.205,manual_journal_search[applied_linguistics]
R Boyle,'You've worked with Elizabeth Taylor!': phatic functions and implicit,2000,"... the  future development of a course of action.   As an   illustration of the documentary   method   of interpretation in operation, we might consider the case of teachers of English as a foreign language, who commonly use nationality to index the various personality traits and  work  habits...",10.1093/applin/21.1.26,https://doi.org/10.1093/applin/21.1.26,manual_journal_search[applied_linguistics]
L Wei,Unequal election of morphemes in adult second language acquisition,2000,"... acquisition data and oers new insights into accuracyorders. The hypotheses supported provide a part of the explanation for how ILs develop.  MORPHEME STUDIES IN SECOND LANGUAGE ACQUISITION In discussing the explanatorygoals of L2 acquisition theory, both Gregg #1996) and Felix #1984) speci®callydiscuss...",10.1093/applin/21.1.106,https://doi.org/10.1093/applin/21.1.106,manual_journal_search[applied_linguistics]
HM Batibo,"Review. Language policy and language education in emerging nations. R de Beaugrande, M Grosman, B Seidlhofer [eds]",2000,.... The book is concerned with the question of what is meant by `teaching English as a foreign language'. The main argument is whether what makes English foreign should be de®ned by local linguistic and socio-cultural contexts. The book makes an extensive coverage of the various facets of the problem...,10.1093/applin/21.1.141,https://doi.org/10.1093/applin/21.1.141,manual_journal_search[applied_linguistics]
Z Han,Persistence of the implicit influence of NL: the case of the pseudo-passive,2000,"...    +the  informants' L1)     and   English   +the informants' L2), and with a summary of their presumed broad eect on second language acquisition. It then provides a review         of typological and                                                      ZHAOHONG HAN     79  syntactic approaches to the pseudo...",10.1093/applin/21.1.78,https://doi.org/10.1093/applin/21.1.78,manual_journal_search[applied_linguistics]
Y Matras,Writing Romani: the pragmatics of codification in a stateless language,1999,"... such                                                      YARON MATRAS    491  as dujto `second' or jekh `one, a' acquiring, by analogy to Spanish, gender in¯ection based on Romani adjectival endings 4m.    dujto f. dujti, Spanish segundo/segunda;m.jekh f. jekhi, Spanish un/una). No diacritics are used, and the orthography resembles that in wide use...",10.1093/applin/20.4.481,https://doi.org/10.1093/applin/20.4.481,manual_journal_search[applied_linguistics]
