Meta Info							Target Feature			Contextual Feature			Theory Feature	Assessment Feature										Learner Features														Instructional Feature												Results																															
																																																		Outcome Measures 1								Outcome Measures 2								Outcome Measures 3								Outcome Measures 4							
7	11, 12	Narita, Narita	2009, 2012	Dissertation, Journal	Quasi-Experimental Design	This study investigated the treatment effects of consciousness-raising approaches on Japanese hearsay evidential markers employing quasi-experimental design.	Hearsay Evidential Marker			US	University	Laboratory	Noticing Hypothesis	TRUE	TRUE	Statistical Test, Descriptive Statistics	ANOVA	TRUE	Multiple-Choice Tests	Multiple-Choice Tests	Oral Discourse Completion Task			41	22	19	Experimental	English		3rd Year	20.8	18	24	TRUE	22			Medium Treatments	FALSE	TRUE	FALSE	Text Transcription of Monologue	TRUE	FALSE	FALSE		FALSE	FALSE	FALSE	Positive	ANOVA showed sig. diff. of metapragmatic knowledge test 1 btw pre and posttests. Mean scores increased from pre to post.  Descriptive stats also showed the similar scores btw posttest and delayed posttest, suggesting the potential durability.	Language Use in Item	the JFL learners seemed to have hard  time when they were asked to choose the pattern in which one of the clauses in one pair is not marked with a hearsay  evidential marker (Sets 1–3 in Table 1). (Narita 2012, p. 11)	Positive	ANOVA showed sig. interaction effect btw groups and time. Descriptive stats and figure (Narita, 2012, p. 11) showed that experimental group achieved higher scores in posttest & delayed posttest.			Positive	ANOVA showd sig. diff btw pre/posttest scores of metaplagmatic knowledge tests 2. Descriptive stats. and figure (Narita, 2012, p.12) showed that posttest scores increased from pretest ones. Meanwhile, mean delayed posttest scores decreased from posttest ones.	Unreliability of Information in Item	When information reliability is lower, learners tended to answer correctly.	Positive	ANOVA showed sig. interaction btw group and scores. Figure in Narita (2012, p. 12) showed that experimental group outperformed control group in posttests and delayed posttests.			Positive	ANOVA showed sig. diff. btw pre/posttest scores. Descriptive stats and fiture (Narita, 2012, p. 12) showed that posttest & delayed posttest scores were higher than pretest ones. Meanwhile, delayed posttest scores decreased from posttest scores.			Positive	ANOVA showed sig. interaction btw group and time. Desc. stats & figure (Narita, 2012, p.12) showed that experimental group outperformed control group.										
														FALSE	FALSE			FALSE									Control	English		3rd Year	20.8	18	24	TRUE	19			Medium Treatments	FALSE	FALSE	FALSE		FALSE	FALSE	FALSE		FALSE	FALSE	FALSE	Positive	ANOVA showed sig. diff. of metapragmatic knowledge test 1 btw pre and posttests. Mean scores increased from pre to post.  Descriptive stats also showed the similar scores btw posttest and delayed posttest, suggesting the potential durability.	Language Use in Item	the JFL learners seemed to have hard  time when they were asked to choose the pattern in which one of the clauses in one pair is not marked with a hearsay  evidential marker (Sets 1–3 in Table 1). (Narita 2012, p. 11)					Positive	ANOVA showd sig. diff btw pre/posttest scores of metaplagmatic knowledge tests 2. Descriptive stats. and figure (Narita, 2012, p.12) showed that posttest scores increased from pretest ones.	Unreliability of Information in Item	When information reliability is lower, learners tended to answer correctly.					Positive	ANOVA showed sig. diff. btw pre/posttest scores. Descriptive stats and fiture (Narita, 2012, p. 12) showed that posttest & delayed posttest scores were higher than pretest ones. However, delayed posttest scores decreased from posttest scores and were closed to pretest scores, suggesting treatment effects are not 1month durable.														
8	13, 14	Hoshi, Hoshi	2017, 2022	Dissertation, Journal	Quasi-Experimental Design	This study examined the treatment effects of explicit instruction with conversational activities on L2 Japanese interactional competence, focusing on the use of interactional sentence final particles, ne, yo, yone, using a quasi-experimental design.	Interactional Sentence Final Particle		ne, yo, yone	US	University	Classroom	Noticing Hypothesis	TRUE	TRUE	Frequency		FALSE	Metapragmatic Knowledge Explanation Task	Multiple-Choice Tests	Oral Spontaneous Interaction	Self-evaluation	Oral Spontaneous Interaction	23	12	11	Experimental			2nd Year	19.4	18	22	TRUE	14	8	6	Long Treatments	TRUE	TRUE	FALSE	Text Dialogue, Oral Interaction Video	FALSE	FALSE	TRUE	Oral Translation, Oral Unscripted Interaction with L1s, Oral Unscripted Interaction with L2s	FALSE	FALSE	TRUE	Positive	Most students did not show any awareness to SFPs in the pretest. However, in the posttest, some students explained the definition of SFP functions regardless of its types.			Positive	While pretest peformance was similar btw groups, some students in experimental group could explain the def. of yo & yone functions which most cont. group students could not.			Positive	Correct answer rate generally increased from pretest to postttest.	Restriction Level of Items	Confusion btw yo & ne, might be due to that yo is easier to use than ne.	Positive	N correct answers were generally higher in exp. group than in cont. group.			Positive	the learners who received the pragmatics-focused instruction   are increasingly able to use ne, yo, and yone productively during their conversations with   NS conversation partners and peer learners. (Hoshi, 2017, p. 159)  Moreover, appropriate use of SPFs found in posttests.  Some students started to use SPFs as functions which were not instructed in classrooms (i.e., extended use)	Underdevelopment of Functions, Restriction Level of Items	For some learners, initial-turn ne is relatively difficutl to learn.  The smaller use of yone might be caused by its difficulty.	Positive	The experimental group on the whole performed significantly better than the   control group in their productive use of particles ne, yo, and yone in unscripted   conversations with native speakers and classroom peers (Hoshi, 2017, p. 108)			Positive	at the post-instruction stage, we can clearly observe the growth of   confidence in the ability to use the respective particles among the students in the   experimental group (Hoshi, 2017, p. 117)			Positive	a total of 12 responses (28%) in the experimental group gave a highest rating of 7, in contrast to   only 4 responses (15 %) in the control group (Hoshi, 2017, p. 115)		
														FALSE	FALSE			FALSE									Control			2nd Year	19.4	18	22	TRUE	9	4	5	Long Treatments	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	Oral Unscripted Interaction with L1s, Oral Unscripted Interaction with L2s	FALSE	FALSE	FALSE	Positive	Most students did not show any awareness to SFPs in the pretest. However, in the posttest, some students explained the definition of some SFP functions (nonuse & ne).							Positive	Correct answer rate generally increased from pretest to postttest.	Restriction Level of Items, Production Practice with L1s	Confusion btw yo & ne, might be due to that yo is easier to use than ne.  The increase of correct answer rate of yo might be attributed to L1 interaction opportunity.					Negative	Decrease of ne and no use of yo & yone in the posttest.							Mixed	In the pretest, many students rated their conficence as 4 or less than 4.  In the posttest, while the majority of students rated their confidence as 6 (26%), 19% of students rated their confidence as 3.						
9	15, 16, 17	Cohen & Ishihara, Ishihara, Ishihara	2005, 2006, 2007	Web-report, Dissertation, Journal	Pretest-Posttest Design	This study developed a CALL for speech act learning and examined its treatment effects employing a pre/posttest design.	Speech Act	Apologizing, Complaimenting, Making Request, Refusing, Expressing Gratitude		US	University	Extra-Curicular	Noticing Hypothesis, CALL, Output Hypothesis, Metacognitive Strategy	TRUE	TRUE	Scores/Ratings, Descriptive Statistics		FALSE	Metacognitive Strategy Questionnaire	Oral Discourse Completion Task			Journal Writing/Self-reflection	22	14	8	NA	English	Novice, Intermediate	3rd Year		18	23	TRUE	22	14	8	Medium Treatments	TRUE	TRUE	FALSE	Oral Interaction Video	TRUE	FALSE	TRUE	Discourse Completion Task	TRUE	TRUE	FALSE	Positive	Self-reflective journals showed learners' awareness to speech act/strategies, indicating potential benefits of instruction. However, journal writing was offerred only after instructional sessions, and it cannot be said whether those awareness emerged by treatments or those awareness existed before treatments. 							Positive	Generally, posttest DCT socres increased from pretest ones (Cohen & Ishihara, 2005, p. 13). Meanwhile, scores of complainmenting were likely to remain before and after treatments.	Proficiency Level, Pragmatic Target, Raters' ID	The materials were found to have at least some impact, especially for those students  who demonstrated more limited ability in speech act performance at the outset. (Cohen and Ishihara, 2005, p. 2). those who had the highest rated gain scores   were those who had somewhat lower scores (in the mid-teens) in the pre-measure,  whereas those who were seen to improve the least tended to be the higher achievers at  the start. (Cohen and Ishihara, 2005, p. 13)  Averaged pre- and post-measure ratings of speech act performance tended to vary  according to speech act, with the Request unit appearing to be the most effective (Cohen and Ishihara, 2005, p. 2) → maybe because learners have already learned request before sessions. → Moreover, most studies have examined request more than other speech acts, and the authors could provide relatively more effective materials.  the raters should only have paid attention to goodness of fit in the discourse, and not to the pragmatic appropriateness of what they wrote. However, as can be gleaned from the detailed examination of the major discrepancies in scores (see the extended note for Table 12 below), raters at times were addressing different factors in their ratings, despite our best efforts to train them to base their ratings on the same criteria. Consequently, the ratings were not as  valid as they might have been. Learners were penalized, for example, for linguistic  mistakes, for leaving a rejoinder slot blank, and for giving a response lacking in appropriateness, although these phenomena were not intended to be reflected in this particular rating category. Moreover, raters did not always provide reasons for their scores. (Cohen and Ishihara, 2005, p. 29 - 30)																				
10	18, 19, 20	Ishida, Ishida, Ishida	2007, 2009, 2009	Proceeding, Dissertation, Book Chapter	Quasi-Experimental Design	This study examined the treatment effects of stance-taking (honorific vs. plain forms) on beginner L2 Japanese learners employing a quasi-experimental design.	Honorific/Plain Styles		desu, masu	US	University	Classroom	Noticing Hypothesis, Language Socialization	TRUE	TRUE	Frequency, Descriptive Statistics		FALSE	Acceptability Judgment				Journal Writing/Self-reflection	33			Experimental Full	English	Novice	1st Year	19.5	18	22	TRUE	6			Long Treatments	TRUE	TRUE	FALSE	Oral Interaction Video, Text Transcription of L1 Interaction	TRUE	FALSE	TRUE	Oral Role-plays with an L2, Oral Unscripted Interaction with L1s	FALSE	FALSE	TRUE					Positive	Comparing with exp. spring learners, posttest scores were relatively higher, suggesting longer intervention can lead to more understanding of pragmatic targets (Ph.D., p.131).																										
														FALSE	FALSE			FALSE									Experimental Fall	English, Mandarin, Taiwanese, Korean, Spanish, Chinese	Novice	1st Year	19.8	17	26	TRUE	14			Long Treatments	TRUE	FALSE	FALSE		FALSE	FALSE	TRUE	Oral Role-plays with an L2, Oral Unscripted Interaction with L1s	FALSE	FALSE	TRUE	Positive	Generally, AJT scores increased from pretest to posttest (Ishida, Ph.D., p.98).  Since learners who also took 2nd semester experiments received similar 2nd pretest scores to 1st posttest scores (i.e., posttest in fall semeser) (Ph.D., p.133) and commented on stance & contextual factors in the 2nd pretest (Ph.D., p.160), suggesting the durability of treatments.	Interlocutor Type	Learners were likely to perform better when an item regards conversation with older strangers than conversation with older customer. This difference might be due to that learners have already been familiar with forms linking with older strangers.	Positive	Average gain scores from pretest to posttest were higher in exp. fall group than in cont. fall group.  Moreover, exp. fall group commented on stance-taking more than cont. fall group learners.																										
														FALSE	FALSE			FALSE									Control Fall	English, Spanish, Korean, Mandarin, French	Novice	1st Year	22	18	25	TRUE	6			Long Treatments	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	Oral Role-plays with an L2	FALSE	FALSE	FALSE	Positive	Overall, AJT scores increased from pretest to posttest though some items remained the same scores btw pre/posttests or decreased from pretests (Ishida, Ph.D., p.98).	Interlocutor Type	Learners were likely to perform better when an item regards conversation with older strangers than conversation with older customer. This difference might be due to that learners have already been familiar with forms linking with older strangers.																												
														FALSE	FALSE			FALSE									Experimental Spring	English, German	Novice	1st Year	19.4	18	24	TRUE	12			Long Treatments	TRUE	TRUE	FALSE	Oral Interaction Video, Text Transcription of L1 Interaction	TRUE	FALSE	TRUE	Oral Role-plays with an L2, Oral Unscripted Interaction with L1s	FALSE	FALSE	TRUE	Positive	Generally, AJT scores increased from pretest to posttest (Ishida, Ph.D., p.129).	Interlocutor Type	AJT scores varies among test items. Since each item had different interlocutor types, suggesting interlocutor type might moderate scores (or difficulty of pragmatic items).	Positive	These results based on quantitative analysis of the rating scores indicate that the learners who received pragmatics-focused explicit instruction were able to demonstrate greater change across a broader range of items and in a more consistent manner.   (Ishida, Ph.D., p. 147)																										
														FALSE	FALSE			FALSE									Control Spring	English, Mandarin, Korean	Novice	1st Year	24	18	34	TRUE	7			Long Treatments	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	Oral Role-plays with an L2	FALSE	FALSE	FALSE	No Impact	Some AJT item scores increased, most item scores remained btw tests or decreased from pretests.	Interlocutor Type	AJT scores varies among test items. Since each item had different interlocutor types, suggesting interlocutor type might moderate scores (or difficulty of pragmatic items).																												
